#iID	iAbilityType	sAbilityID	sBookTip	sBookImage	sLink
10001	1	铁矿	[5E0B08]铁矿[-]为制作兵器的基本原料，不同的兵器制作所需要的量也不相同，有时还会掺杂其他特殊矿石。	i10101	3,0
10002	1	铜矿	普通铜矿，古代兵器制作的基本原料。	i10102	3,0
10003	1	黑晶矿	特殊铁矿，可制作出质量较好的兵器。	i10103	3,0
10004	1	白晶矿	特殊铁矿，可制作出质量较好的兵器。	i10104	3,0
10005	1	黄晶矿	特殊铁矿，可制作出质量较好的兵器。	i10105	3,0
10006	1	红晶矿	特殊铁矿，可制作出质量较好的兵器。	i10106	3,0
10007	1	蓝晶矿	特殊铁矿，可制作出质量较好的兵器。	i10107	3,0
10008	1	绝龙骨	稀有矿物，可以制造出稀有质量的兵器。	i10108	3,0
10009	1	钛金属	稀有矿物，由黑色石头中炼出，质轻地坚，可以制造出稀有质量的兵器。	i10109	3,0
10010	1	挖矿	[5E0B08]挖矿需有铲子才可进行。[-]挖矿时注意，得击中有抱矿物的地鼠，若打到没有抱矿物的地鼠可是会扣时间的；随着挖矿的熟练度越高，会出现越加稀有的矿物。[5E0B08]挖矿获得材料可用来打铁。[-]	i10021	3,0
10011	1	玄铁石	传说来自于天火，延展性高，可硕性强，适合做成各类武器，锻造后极度坚硬，是非常稀有的矿石。	i00707	3,0
10101	2	打猎	[5E0B08]打猎需有弓箭才可进行。[-]打猎的基本配备是弓和箭，而弓也有分好几种，好的弓威力大，速度快。洛阳郊外猎人附近的森林可以打猎。[5E0B08]打猎获得材料可用来炼丹或下厨。[-]	i10022	3,1
10102	2	野兔	森林中常见的[5E0B08]野兔[-]，动作相当敏捷，能在逃跑时快速转弯变换逃生方向。	i10001	3,1
10103	2	野鸡	[5E0B08]野鸡[-]，遇到有人惊动时，会很快隐藏到附近的草丛或飞逃。	i10002	3,1
10104	2	野鹿	[5E0B08]野鹿[-]其珍贵的地方在于其鹿茸，为珍贵的中药药材。	i10003	3,1
10105	2	野猪	[5E0B08]野猪[-]是野外中常见的攻击性动物，喜欢用冲撞的方式攻击敌人，需要小心注意。	i10004	3,1
10106	2	野雁	[5E0B08]野雁[-]擅长从高空滑翔下来攻击敌人，遇到野雁时切记一定得先攻击，否则会遭殃。	i10005	3,1
10107	2	毒蛇	[5E0B08]毒蛇[-]是森林中神出鬼没的讨厌角色，时常利用树木的保护色在树上出现，被咬到时可不好受。	i10006	3,1
10108	2	黑熊	[5E0B08]黑熊[-]是森林中残暴的动物，体格壮硕，不易对付。	i10007	3,1
10109	2	老虎	有百兽之王之称的[5E0B08]老虎[-]是个凶猛的狩猎者，有敏锐的听力及夜视力，领地观念十分强烈，若不慎踏入牠的地盘，得小心慎防。	i10008	3,1
10110	2	雪貂	[5E0B08]雪貂[-]也许很可爱，但却极具破坏性。	i10009	3,1
