#SkillNo	SkillName	NeedToSelectTarget	SkillType	TargetType	TargetArea	Range	AOE	MinDamage	MaxDamage	UseAp	CD	UseSkillAfterMove	condition	SkillEffectID	sSkillIcon
200000001	就决定是你了，鸡师傅	1	2	4	0	1	0	0	0	0	999	0	91001202	0	s02005
100001001	天上天下	1	0	2	0	2	1	800	900	200	0	1	500052	100001001	s01007
100001002	唯我独尊	1	0	2	0	2	1	800	900	300	3	1	500000	100001002	s02009
100001003	天王托塔	1	0	2	1	3	0	900	1000	400	4	1	500001,500012	100001003	s02010
100001004	化劲归元	1	0	2	0	1	0	500	600	300	0	1	500086,500090	100017001	s01057
100001005	八脉升华	0	1	1	0	0	0	800	1400	800	4	1	500042	100017003	s04004
100002001	天上天下	1	0	2	0	2	1	1500	1600	300	0	1	500052,500009	100002001	s01007
100002002	唯我独尊	1	0	2	0	2	1	1700	1900	500	2	1	500000,500008	100002002	s02009
100002003	天王托塔	1	0	2	1	3	0	2000	2100	700	4	1	500001,500051,500012	100002003	s02010
100003001	龙擒功	0	0	2	0	1	1	900	1000	100	0	1	500008	100003003	s02003
100003002	独尊龙王印	1	0	2	0	2	1	800	900	300	3	1	500014,500013	100003002	s01007
100003003	霸者横拦	0	0	2	0	0	3	1200	1300	400	4	1	500000,500042	100003001	s02006
100004001	龙擒功	0	0	2	0	1	1	1300	1500	200	0	1	500008,500009	100005003	s02003
100004002	独尊龙王印	1	0	2	0	2	1	1300	1500	400	2	1	500014,500013,500023	100005002	s01007
100004003	霸者横拦	0	0	2	0	0	3	1400	1600	800	3	1	500000,500051,500027	100005001	s02006
100005001	修罗灭	1	0	2	0	2	0	1200	1500	200	0	1	500008,500004	100006001	s01033
100005002	修罗歼	0	0	2	0	0	1	1200	1400	400	3	1	500039,500003	100006002	s01034
100005003	修罗霸	1	0	2	1	2	0	1400	1700	600	4	1	500012,500035	100006003	s01035
100007001	珠花扬舞	1	0	2	1	3	0	900	1000	200	0	1	500013,500007	100007001	s01031
100007002	飞沙走石	0	0	2	0	0	2	800	900	400	2	1	500132,500013	100007002	s02006
100007003	高山流水	1	0	2	2	3	0	900	1000	600	3	1	500001,500013,900036	100007003	s02003
100008001	胡笳十八拍	1	0	2	1	3	0	800	900	200	0	1	500013,900033	100008001	s01031
100008002	春江花月夜	0	1	1	0	0	3	900	1200	400	3	1	500041,900034	100008002	s04008
100008003	十面埋伏	0	0	2	0	0	3	600	700	600	2	1	500013,900035	100008003	s02009
100009001	金鵰鹏飞	1	0	2	0	2	0	900	1200	100	0	1	500052,900102	100009001	s01008
100009002	金翼展翅	1	0	2	3	1	0	700	1100	240	0	1	500052,500018	100009002	s01009
100009003	一鸣惊人	1	0	2	0	3	0	1300	1500	320	3	1	500028,500039	100009003	s01030
100010001	魍魉摧心	1	0	2	0	1	0	900	1000	100	0	1	500052,500006	100010001	s01003
100010002	离魂七步	1	0	2	0	1	0	900	1000	300	2	1	500005,500006	100010002	s03005
100010003	摧心断魂	1	0	2	0	1	0	1000	1200	400	3	1	500013,500049	100010003	s03002
100011001	业火红莲	1	0	2	0	1	0	1100	1300	150	0	1	500004	100011001	s01009
100011002	血夜隐	1	0	2	0	2	0	900	1100	300	3	1	500002,900102	100011002	s01006
100011003	夜叉探海	0	0	2	0	0	1	1000	1200	400	2	1	500023,500024,500132	100011003	s02009
100012001	荡剑式	1	0	2	1	2	0	850	900	150	0	1	0	100012001	s01029
100012002	撩剑式	1	0	2	0	2	1	900	1100	300	3	1	500004	100012002	s01022
100012003	乱剑式	1	0	2	3	1	0	1000	1300	500	4	1	500013,500012	100012003	s01019
100013001	萧史乘龙	1	0	2	1	2	0	440	680	100	0	1	500008	100013001	s01029
100013002	山外清音	0	1	1	0	0	2	200	400	150	2	1	900037	100013003	s05007
100013003	凤曲长鸣	0	1	1	0	0	2	500	900	300	3	1	500041,900038	100013002	s04005
100014000	挥剑	1	0	2	0	1	0	100	150	0	0	1	0	100014000	s01049
100014001	扶摇直上	1	0	2	0	1	0	300	350	75	0	1	500052	100014001	s01007
100014002	鹏飞千里	1	0	2	0	2	0	350	400	150	2	1	500000	100014002	s01011
100014003	变拳	1	0	2	0	1	0	300	400	150	0	1	500052,500132	100014003,100014004,100014005	s01004
100014004	石破天惊	1	0	2	0	1	0	800	1200	600	2	1	500000,500039	100014006	s01002
100014005	进步双掌	1	0	2	0	1	0	350	400	150	0	1	0	100014005	s01001
100014007	阳春白雪	1	0	2	0	1	0	450	500	150	0	1	500052	100014007	s01003
100014008	阳关三迭	1	0	2	3	1	0	600	650	450	2	1	500052,500005	100014008	s01005
100014009	六阳融雪	0	1	1	0	0	0	300	400	750	2	1	500019,500026,500025	100014009	s05009
100014010	醉酒拨臂连环踢	0	0	2	0	0	1	300	400	250	0	1	500053,500195	100014010	s01011
100014011	醉酒提壶力千钧	1	0	2	0	2	0	500	600	450	2	1	500015,500195	100014011	s01007
100014012	弹腰献酒醉当步	1	0	2	0	2	0	600	700	600	3	1	500053,500017,500195	100014012	s01010
100014013	断魂奇毒	1	0	2	0	1	0	444	499	150	0	1	500049	100014013	s03002
100014014	鬼哭神号	1	0	2	0	1	0	544	599	600	2	1	500009,500000	100014014	s03004
100014015	月缺诀	1	0	2	0	3	0	500	600	300	0	1	500028	100014015	s01048
100014016	月涨诀	1	0	2	3	1	0	600	700	750	2	1	500008	100014016	s01032
