#iID	sAreaID	sMustJoinStaff	sJoinStaff	iVictory	iFale	sReward	sReward	sTime	sBGM	sinside	sautosave
100001	M0001_20	(0,10001401,0)*(0,10001502,1)*(4,10001602,1)	(0,10001401,0)*(0,10001502,1)*(4,10001602,1)	(0,0,0)	(0,0,0)	100001	100001	-1	0	0	0
100002	M0001_20	(0,10007202,1)*(0,10001401,0)	(0,10007202,1)*(0,10001401,0)	(0,0,0)	(0,0,0)	900002	900002	-1	0	0	0
100011	M0001_21	(0,10001401,0)*(0,10012601,1)	(0,10001401,0)*(0,10012601,1)	(0,0,0)	(0,0,0)	600203	600201	-1	0	1	0
100012	M0001_21	(0,10001401,0)*(0,10012601,1)	(0,10001401,0)*(0,10012601,1)	(0,0,0)	(0,0,0)	600203	600202	-1	0	1	0
100021	M0001_25	(0,10007202,0)*(0,10008502,0)*(0,10003702,0)*(0,10012602,1)*(0,10012702,1)*(0,10012802,1)*(0,10012902,1)	(0,10007201,0)*(0,10008501,0)*(0,10003702,0)*(0,10012602,1)*(0,10012702,1)*(0,10012802,1)*(0,10012902,1)	(0,0,0)	(0,0,0)	600265	600266	-1	0	0	0
100022	M0001_25	(0,10001401,0)*(0,10001502,0)*(0,10001602,0)*(0,10012602,1)*(0,10012702,1)*(0,10012802,1)*(0,10012902,1)	(0,10001401,0)*(0,10001502,0)*(0,10001602,0)*(0,10012602,1)*(0,10012702,1)*(0,10012802,1)*(0,10012902,1)	(0,0,0)	(0,0,0)*(1,8,0)	600263	600264	-1	0	0	0
100023	M0001_25	(0,10001401,0)*(0,10001502,0)*(0,10001602,0)*(0,10013002,1)*(0,10013002,1)	(0,10001401,0)*(0,10001502,0)*(0,10001602,0)*(0,10013002,1)*(0,10013002,1)	(0,0,0)	(0,0,0)	600263	600264	-1	0	0	0
100024	M0001_25	(0,10007403,0)*(5,10008803,0)*(0,10001103,1)	(0,10007403,0)*(5,10008803,0)*(0,10001103,1)	(0,0,0)*(1,10,0)	(0,0,0)	600265	600266	-1	0	0	0
100025	M0003_01	(0,10001401,0)*(0,10012802,1)	(0,10001401,0)*(0,10012802,1)	(0,0,0)	(0,0,0)	600254	600255	-1	0	0	0
100026	M0003_01	(0,10001502,0)*(0,10012801,1)	(0,10001502,0)*(0,10012801,1)	(0,0,0)	(0,0,0)	600254	600254	-1	0	0	0
100027	M0001_25	(0,10007202,0)*(0,10008502,0)*(0,10003702,0)*(0,10012602,1)*(0,10012702,1)*(0,10012802,1)*(0,10012902,1)	(0,10007201,0)*(0,10008501,0)*(0,10003702,0)*(0,10012602,1)*(0,10012702,1)*(0,10012802,1)*(0,10012902,1)	(0,0,0)	(0,0,0)	700012	700011	-1	0	0	0
100028	M0001_25	(0,10001401,0)*(0,10001104,1)	(0,10001401,0)*(0,10001104,1)	(0,0,0)	(0,0,0)	600265	600266	-1	0	0	0
100029	M0000_01	(0,10001401,0)*(0,91000701,1)	0	(0,0,0)	(1,10,0)	501009	501010	6	0	0	0
100101	M0001_26	(0,10001401,0)*(0,10002301,1)*(0,10002201,1)*(4,10002501,1)*(5,10002401,1)	(0,10001401,0)*(0,10002301,1)*(0,10002201,1)*(4,10002501,1)*(5,10002401,1)	(0,0,0)	(0,0,0)	600301	600302	-1	0	0	0
100102	M0003_01	(0,10001401,0)*(0,10004201,1)	(0,10001401,0)*(0,10004201,1)	(0,0,0)	(0,0,0)	600313	0	-1	0	0	0
100103	M0001_27	(0,10001401,0)*(0,10006501,0)*(0,10013001,0)*(0,10041101,0)	(0,10001401,0)*(0,10006501,0)*(0,10013001,0)*(0,10041101,0)	(1,5,0)	(0,0,0)	600305	600306	-1	0	0	0
100104	M0001_28	(0,10001401,0)*(0,10029701,0)*(0,10007802,0)*(0,10011202,1)*(0,10011302,1)	(0,10001401,0)*(0,10029701,0)*(0,10007802,0)*(0,10011202,1)*(0,10011302,1)	(0,0,0)	(0,0,0)	600308	600308	-1	0	0	0
100105	M0001_20	(0,10001401,0)*(0,10001602,0)*(0,10029902,1)*(0,10007202,1)	(0,10001401,0)*(0,10001602,0)*(0,10029902,1)*(0,10007202,1)	(0,0,0)	(0,0,0)	600314	600315	-1	0	0	0
100106	M0001_09	(0,10001502,0)*(0,10004802,1)	(0,10001502,0)*(0,10004802,1)	(0,0,0)	(0,0,0)	600316	600317	-1	0	1	0
100107	M0001_27	(0,10001401,0)*(0,10008502,1)	(0,10001401,0)*(0,10008502,1)	(0,0,0)	(0,0,0)	600318	600319	-1	0	0	0
100108	M0001_21	(0,10001502,0)*(0,10012602,1)	(0,10001502,0)*(0,10012602,1)	(0,0,0)	(0,0,0)	500037	600321	-1	0	1	0
100109	M0001_09	(0,10001602,0)*(0,10012801,1)	(0,10001602,0)*(0,10012801,1)	(0,0,0)	(0,0,0)	600322	600323	-1	0	1	0
100110	M0001_09	(0,10001401,0)*(0,10012902,1)	(0,10001401,0)*(0,10012902,1)	(0,0,0)	(0,0,0)	600324	600325	-1	0	1	0
100111	M0001_27	(0,10001502,0)*(0,10008502,1)	(0,10001502,0)*(0,10008502,1)	(0,0,0)	(0,0,0)	600320	600321	-1	0	0	0
100112	M0001_27	(0,10001602,0)*(0,10008502,1)	(0,10001602,0)*(0,10008502,1)	(0,0,0)	(0,0,0)	600320	600321	-1	0	0	0
100113	M0001_21	(0,10001602,0)*(0,10012602,1)	(0,10001602,0)*(0,10012602,1)	(0,0,0)	(3,10001602,30)	600320	600321	-1	0	1	0
100114	M0001_21	(0,10001401,0)*(0,10012602,1)	(0,10001401,0)*(0,10012602,1)	(0,0,0)	(0,0,0)	600326	600327	-1	0	1	0
100115	M0003_01	(0,10001401,0)*(0,10001502,0)*(0,10001602,0)*(0,10003602,1)*(0,10003702,1)*(0,10004201,1)	(0,10001401,0)*(0,10001502,0)*(0,10001602,0)*(0,10003602,1)*(0,10003702,1)*(0,10004201,1)	(0,0,0)	(0,0,0)	600328	600329	-1	0	0	0
100116	M0004_04	(0,10001401,0)*(0,10001502,1)*(0,10001602,2)	(0,10001401,0)*(0,10001502,1)*(0,10001602,2)	(0,0,0)	(1,8,0)	600334	600335	17	0	0	0
100117	M0004_03	(0,10001401,0)*(0,10001601,1)	(0,10001401,0)*(0,10001602,1)	(0,0,0)	(0,0,0)	600336	600336	9	0	0	0
100118	M0001_21	(0,10001401,0)*(0,10012602,1)	(0,10001401,0)*(0,10012602,1)	(0,0,0)	(0,0,0)	500038	600327	-1	0	1	0
100119	M0001_09	(0,10001401,0)*(0,10004802,1)	(0,10001401,0)*(0,10004802,1)	(0,0,0)	(0,0,0)	501005	501006	-1	0	1	0
105001	M0005_05	(0,10001401,0)*(0,10009202,0)*(0,10011101,1)	(0,10001401,0)*(0,10009202,0)*(0,10011101,1)	(0,0,0)	(0,0,0)	505002	505003	-1	0	0	0
105002	M0005_07	(0,10001401,0)*(0,91001101,1)*(0,91001201,1)	(0,10001401,0)*(0,91001101,1)*(0,91001201,1)	(0,0,0)	(0,0,0)	505012	505010	-1	0	0	1
105003	M0005_05	(0,10001401,0)*(0,10013602,1)*(0,10022401,1)*(0,10022401,1)*(0,10022401,1)*(0,10022401,1)	(0,10001401,0)*(0,10013602,1)*(0,10022401,1)*(0,10022401,1)*(0,10022401,1)*(0,10022401,1)	(0,0,0)	(0,0,0)	920056	920056	-1	0	0	0
105004	M0005_07	(0,10001401,0)*(0,91001101,1)*(0,91001201,1)	(0,10001401,0)*(0,91001101,1)*(0,91001201,1)	(0,0,0)	(0,0,0)	505012	505010	-1	0	0	1
105005	M0005_07	(0,10001401,0)*(0,91001101,1)*(0,91001201,1)	(0,10001401,0)*(0,91001101,1)*(0,91001201,1)	(0,0,0)	(0,0,0)	505012	505010	-1	0	0	1
106001	M0006_09	(0,10001401,0)*(0,10001503,0)*(0,10004303,0)*(0,10013001,1)*(0,10013001,1)*(0,10013001,1)*(0,10013005,1)*(0,10013005,1)*(3,10013005,1)*(3,10013003,1)*(3,10013003,1)	(0,10001401,0)*(0,10001503,0)*(0,10004303,0)*(0,10013001,1)*(0,10013001,1)*(0,10013001,1)*(0,10013005,1)*(0,10013005,1)*(3,10013005,1)*(3,10013003,1)*(3,10013003,1)	(0,0,0)	(0,0,0)	506001	500013	-1	0	0	0
