#iID	Lv1	Lv2	Lv3	Lv4	Lv5	Lv6	Lv7	Lv8	Lv9	Lv10
60001	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0	1,2,72,56,0,0
60002	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0	3,4,84,56,0,0
60003	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0	2,6,72,42,0,0
60004	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0	7,0,60,28,1500,0
60005	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0	2,4,96,56,0,0
60006	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0	1,1,60,28,3000,0
60007	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0	6,2,60,28,0,0
60008	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4	3,0,36,14,0,4
60009	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0	0,15,72,56,0,0
60010	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0	2,3,84,56,0,0
60011	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0	6,6,60,140,0,0
60012	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0	2,8,96,98,0,0
60013	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0	2,3,36,84,6000,0
60014	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0	8,8,120,140,0,0
