#sID	sQuestName	iQType	sQTip	iOpenTime	iCloseTime	sOConditions	sFinshQType	iGetManager	iQuestIngManager	iFinshQuestManager	iGiftID1	iRepeat
9999999	關檔牆	1	一次性對話	0	0	0	(1,0,0)	0	0	0	0	0
10007001	武當幫古實	1	武當幫古實	0	0	0	(1,0,0)	0	0	0	0	0
10007002	武當不幫古實	1	武當不幫古實	0	0	0	(1,0,0)	0	0	0	0	0
10009001	黑風寨獲勝	1	黑風寨獲勝	0	0	0	(1,0,0)	0	0	0	0	0
10012001	少年英雄會冠軍	1	少年英雄會冠軍	0	0	0	(1,0,0)	0	0	0	0	0
10013001	杭州回養成	1	杭州回養成	0	0	0	(1,0,0)	0	0	100001	599998	0
10013002	愛上香兒	1	愛上香兒	0	0	0	(1,0,0)	0	0	0	0	0
10013003	選擇救戚將軍	1	選擇救戚將軍	0	0	0	(1,0,0)	0	0	0	0	0
10013004	選擇剿滅海鯊幫	1	選擇剿滅海鯊幫	0	0	0	(1,0,0)	0	0	0	0	0
10015001	幫藍婷打贏百草門	1	幫藍婷打贏百草門	0	0	0	(1,0,0)	0	0	0	0	0
10015002	跟藍婷告白	1	跟藍婷告白	0	0	0	(1,0,0)	0	0	0	0	0
10015003	藍婷感情結局	1	跟藍婷告白	0	0	0	(1,0,0)	0	0	0	0	0
10016001	佛劍魔刀不幫荊棘	1	佛劍魔刀不幫荊棘	0	0	0	(1,0,0)	0	0	0	0	0
10016002	佛劍魔刀幫荊棘	1	佛劍魔刀幫荊棘	0	0	0	(1,0,0)	0	0	0	0	0
10016003	佛劍魔刀幫荊棘並獲勝	1	佛劍魔刀幫荊棘並獲勝	0	0	0	(1,0,0)	0	0	0	0	0
10018001	青霞子勝	1	青霞子勝	0	0	0	(1,0,0)	0	0	0	0	0
10019001	成都回養成	1	成都回養成	0	0	0	(1,0,0)	0	0	100001	599997	0
10019002	幫過唐中慧	1	幫過唐中慧	0	0	0	(1,0,0)	0	0	0	0	0
10031001	打嫖獲勝	1	打嫖獲勝	0	0	0	(1,0,0)	0	0	0	0	0
10032001	黃絡事件獲勝	1	黃絡事件獲勝	0	0	0	(1,0,0)	0	0	0	0	0
10001001	夜叉線江府壽宴沒有傷害夜叉	1	江府壽宴沒有傷害夜叉	0	0	0	(1,0,0)	0	0	0	0	0
10001002	夜叉線江府壽宴打了夜叉	1	夜叉線江府壽宴打了夜叉	0	0	0	(1,0,0)	0	0	0	0	0
10001003	夜叉線盟主戰龍王出現	1	夜叉線盟主戰龍王出現	0	0	0	(1,0,0)	0	0	0	0	0
10001004	夜叉線盟主戰荊棘攻擊後	1	夜叉線盟主戰荊棘攻擊後	0	0	0	(1,0,0)	0	0	0	0	0
10001005	夜叉線盟主戰主角龍王前死亡	1	夜叉線盟主戰荊棘攻擊後	0	0	0	(1,0,0)	0	0	0	0	0
10001006	夜叉線盟主戰谷月軒龍王前死亡	1	夜叉線盟主戰荊棘攻擊後	0	0	0	(1,0,0)	0	0	0	0	0
10001007	飲中四俠任劍南出場標記	1	飲中四俠任劍南出場標記	0	0	0	(1,0,0)	0	0	0	0	0
10001008	飲中四俠傅劍寒死亡標記	1	飲中四俠傅劍寒死亡標記	0	0	0	(1,0,0)	0	0	0	0	0
10001009	飲中四俠任劍南死亡標記	1	飲中四俠任劍南死亡標記	0	0	0	(1,0,0)	0	0	0	0	0
10001010	飲中四俠楊雲死亡標記	1	飲中四俠楊雲死亡標記	0	0	0	(1,0,0)	0	0	0	0	0
10001011	飲中四俠主角死亡標記	1	飲中四俠主角死亡標記	0	0	0	(1,0,0)	0	0	0	0	0
10001012	飲中四俠傅劍寒死第二次標記	1	飲中四俠傅劍寒死第二次標記	0	0	0	(1,0,0)	0	0	0	0	0
10001013	飲中四俠傅劍寒在場標記	1	飲中四俠二號傅劍寒在場標記	0	0	0	(1,0,0)	0	0	0	0	0
10001014	森林戰法王浪人尹世允死亡標記	1	森林戰法王浪人尹世允死亡標記	0	0	0	(1,0,0)	0	0	0	0	0
10001015	森林戰法王浪人尹世允轉敵方標記	1	森林戰法王浪人尹世允轉敵方標記	0	0	0	(1,0,0)	0	0	0	0	0
10001016	森林戰法王浪人葉孤敵方標記	1	森林戰法王浪人葉孤敵方標記	0	0	0	(1,0,0)	0	0	0	0	0
10001017	森林戰法王浪人主角死亡標記	1	森林戰法王浪人主角死亡標記	0	0	0	(1,0,0)	0	0	0	0	0
10001018	關偉在場上	1	關偉在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001019	齊麗在場上	1	齊麗在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001020	傅劍寒在場上	1	傅劍寒在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001021	楊雲在場上	1	楊雲在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001022	任劍南在場上	1	任劍南在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001023	陸少臨在場上	1	陸少臨在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001024	蕭遙在場上	1	蕭遙在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001025	燕宇在場上	1	燕宇在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001026	沈瀾在場上	1	沈瀾在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001027	藍婷在場上	1	藍婷在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001028	沈湘芸在場上	1	沈湘芸在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001029	夏侯非在場上	1	夏侯非在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001030	西門峰在場上	1	西門峰在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001031	趙雅兒在場上	1	趙雅兒在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001032	秦紅殤在場上	1	秦紅殤在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001033	紀玟在場上	1	紀玟在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001034	虛真在場上	1	虛真在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001035	古實在場上	1	古實在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001036	任清璇在場上	1	任清璇在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001037	花癡在場上	1	花癡在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001038	仙音在場上	1	仙音在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001039	史燕在場上	1	史燕在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001040	一號放毒忍者死亡	1	一號放毒忍者死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001041	二號放毒忍者死亡	1	二號放毒忍者死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001042	三號放毒忍者死亡	1	三號放毒忍者死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001043	天意奇毒已解	1	天意奇毒已解	0	0	0	(1,0,0)	0	0	0	0	0
10001044	沈湘芸沈瀾解毒	1	沈湘芸沈瀾解毒	0	0	0	(1,0,0)	0	0	0	0	0
10001045	天王參戰	1	天王參戰	0	0	0	(1,0,0)	0	0	0	0	0
10001046	天王護衛戰有追齊麗	1	天王護衛戰有追齊麗	0	0	0	(1,0,0)	0	0	0	0	0
10001047	天王護衛戰沒追齊麗	1	天王護衛戰沒追齊麗	0	0	0	(1,0,0)	0	0	0	0	0
10001048	關長虹攻擊史剛	1	關長虹攻擊史剛	0	0	0	(1,0,0)	0	0	0	0	0
10001049	放毒了	1	放毒了	0	0	0	(1,0,0)	0	0	0	0	0
10001050	劍聖參戰	1	劍聖參戰	0	0	0	(1,0,0)	0	0	0	0	0
10001051	任劍南彈琴	1	任劍南彈琴	0	0	0	(1,0,0)	0	0	0	0	0
10001052	易蘭退場	1	易蘭退場	0	0	0	(1,0,0)	0	0	0	0	0
10001053	王蓉在場上	1	王蓉在場上	0	0	0	(1,0,0)	0	0	0	0	0
10001054	尚精忠死亡	1	尚精忠死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001055	唐中慧在場	1	唐中慧在場	0	0	0	(1,0,0)	0	0	0	0	0
10001056	唐中慧死亡	1	唐中慧死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001057	唐飛死亡	1	唐飛死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001058	唐冠南死亡	1	唐冠南死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001059	藍婷死亡	1	藍婷死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001060	唐門弟子1死亡	1	唐門弟子1死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001061	唐門弟子2死亡	1	唐門弟子2死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001062	唐門弟子3死亡	1	唐門弟子3死亡	0	0	0	(1,0,0)	0	0	0	0	0
10001063	大家都死了	1	大家都死了	0	0	0	(1,0,0)	0	0	0	0	0
10001064	VS劍聖主角掛了	1	VS劍聖主角掛了	0	0	0	(1,0,0)	0	0	0	0	0
10001065	VS辟邪23號出場了	1	VS辟邪23號出場了	0	0	0	(1,0,0)	0	0	0	0	0
10001066	天王線四大高手被打紀錄	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
10001067	天王線四大高手被打紀錄	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
10001068	聰辯先生出場紀錄	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
10001069	三俠三傑-蕭遙VS楊雲	1	三俠三傑-蕭遙VS楊雲	0	0	0	(1,0,0)	0	0	0	0	0
10001070	三俠三傑-蕭遙VS傅劍寒	1	三俠三傑-蕭遙VS傅劍寒	0	0	0	(1,0,0)	0	0	0	0	0
10001071	三俠三傑-蕭遙VS任劍南	1	三俠三傑-蕭遙VS任劍南	0	0	0	(1,0,0)	0	0	0	0	0
10001072	三俠三傑-陸少臨VS楊雲	1	三俠三傑-陸少臨VS楊雲	0	0	0	(1,0,0)	0	0	0	0	0
10001073	三俠三傑-陸少臨VS傅劍寒	1	三俠三傑-陸少臨VS傅劍寒	0	0	0	(1,0,0)	0	0	0	0	0
10001074	三俠三傑-陸少臨VS任劍南	1	三俠三傑-陸少臨VS任劍南	0	0	0	(1,0,0)	0	0	0	0	0
10001075	三俠三傑-燕宇VS楊雲	1	三俠三傑-燕宇VS楊雲	0	0	0	(1,0,0)	0	0	0	0	0
10001076	三俠三傑-燕宇VS傅劍寒	1	三俠三傑-燕宇VS傅劍寒	0	0	0	(1,0,0)	0	0	0	0	0
10001077	三俠三傑-燕宇VS任劍南	1	三俠三傑-燕宇VS任劍南	0	0	0	(1,0,0)	0	0	0	0	0
10034001	少年英雄會_作弊被抓	1	作弊被抓	0	0	0	(1,0,0)	0	0	0	0	0
10034002	少年英雄會_凱旋而歸	1	第一名讚	0	0	0	(1,0,0)	0	0	0	0	0
20000001	洛陽打贏吃_谷月軒	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000002	洛陽打贏吃_荊棘	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000003	洛陽打贏吃_主角	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000004	洛陽打贏吃_店小二	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000005	幫阿忠_蠻力	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000006	幫阿忠_內力	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000007	幫阿忠_加油	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000008	斷然離去	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000009	解開穴道	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000010	弄倒花瓶	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000011	東廠大忠，沈瀾解蠱毒1	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000012	東廠大忠，沈瀾解蠱毒2	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000013	東廠大忠，沈瀾解蠱毒3	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000014	樂山幫荊棘_失敗	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000015	四龍烙跑，以免觸發敵方BUFF	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000016	修羅場成就達成	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000017	轉生	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
