#iTalenID	iTalenType	sOpenCondition	sTalenName	sTalenTip	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue
101	1	0,0	刻苦耐劳	从事单调繁重的工作时，能让你保持专注与心情愉悦。相对的若工作的变化性较高，就会让你感到无所适从，降低心情。	1	0	1	2	0	1	3	1	1	4	1	1	5	1	1																														
102	1	0,0	机敏聪慧	古灵精怪的你适合从事变化性高的工作，这会令你十分愉快。但若从事单调的工作则会让你死气沉沉，变成一个闷葫芦。	1	1	1	2	1	1	3	0	1	4	0	1	5	0	1																														
201	2	0,0	风流倜傥	你面如冠玉，有若潘安再生，气质高雅，众女性都不由得为你神魂颠倒。女性友人的友好度获得多50%。女性朋友友好度总和越高，攻击加成越高。【攻击加成上限50%】	27	2	50	29	2	50																																							
202	2	0,0	臭味相投	喜欢各种男人的嗜好，使得你与其他男性友人相处时特别融洽。男性友人的友好度获得多50%。男性朋友友好度总和越高，攻击加成越高。【攻击加成上限50%】	26	2	50	28	2	50																																							
203	2	0,0	筋骨坚实	你天生皮粗肉厚，拥有更强健的筋骨。【硬功的修练经验值获得多50%，上限120，战斗减伤多25%。】	7	2	50	57	0	20	30	3	25																																				
204	2	0,0	柔若无骨	你天生筋骨十分柔软，能做高难度的姿势和动作。【软功的修练经验值获得多50%，上限120，战斗时反击多25%。】	8	2	50	58	0	20	31	2	25																																				
205	2	0,0	耳聪目明	你看得比别人远，听的也比别人清楚。【眼耳功的修练经验值获得多50%，上限120，战斗时暴击多10%，闪避多5%。】	19	2	50	20	2	50	69	0	20	70	0	20	32	2	10	33	2	5																											
206	2	0,0	动如脱兔	你的身手十分矫健，从小就是一个逃跑高手。【轻功的修练经验值获得多50%，上限120，战斗时闪避多15%。】	21	2	50	71	0	20	33	2	15																																				
207	2	0,0	多愁善感	多愁善感的性格使你在艺术方面有独到的见解。【艺能修练经验值获得多100%，获得策略点数时多1，策略点上限为15。】	23	2	100	73	0	20	36	0	1	101	0	5																																	
208	2	0,0	技艺高手	你拥有更多的耐心与灵巧的双手。【技能修练经验值获得多100%。使用策略技时，需求-1。】	22	2	100	72	0	20	102	1	1																																				
211	2	0,0	武器大师	通晓十八般武器，使用武器更加得心应手。【所有和兵器相关的修炼经验+50%，上限120，战斗时兵器所附加的杀伤力多100%。】	13	2	50	14	2	50	15	2	50	16	2	50	17	2	50	18	2	50	63	0	20	64	0	20	65	0	20	66	0	20	67	0	20	68	0	20	35	2	100	49	2	50	99	0	20
212	2	0,0	搏击大师	深谙有剑无剑之道，空手武学熟练度上升。【拳掌、指法、腿法修练经验值+50%，上限120。有带连击的招式，其连击发动机率比一般人高。】	10	2	50	11	2	50	12	2	50	60	0	20	61	0	20	62	0	20	34	2	50																								
213	2	0,0	武学奇才	身为万中选一的武学奇才，你将更容易提升武学常识与实战经验，并能更快精通各种武学。【基本功和套路经验+15%，武学、实战获得时+1，所有套路上限120】	24	0	1	25	0	1	6	2	15	56	0	20																																	
214	2	4,1	前世情缘	冥冥之中有股力量牵动着你们，前世情缘今生是否能够再续？朋友的友好度获得多100%。朋友友好度总和越高，攻击加成越多。【攻击加成上限100%】	26	2	100	27	2	100	41	2	100																																				
215	2	1,1	人见人爱	拥有奇特气场的你，到哪都是个万人迷，人见人爱，花见花开。朋友的友好度获得多50%。朋友友好度总和越高，攻击加成越多。【攻击加成上限70%】	26	2	50	27	2	50	41	2	70																																				
216	2	6,1	天生废柴	天生各种能力低下，彷佛注定走向乞丐之路，唯有后天加倍努力，或许能够改变命运，扭转乾坤。【全属性默认为0、策略点上限只有8】	42	0	1	101	1	2																																							
217	2	5,1	转世神童	百年难得一见的天才！从小天赋异禀，学习任何事物都有极高的效率，并且能精通于一般人所达不了的境界。【所有经验+30%，武学、实战获得时+1，所有属性上限120】	6	2	30	22	2	30	23	2	30	56	0	20	72	0	20	73	0	20	24	0	1	25	0	1																					
218	2	2,31047	双手情人	经过长久的修练，你和你的双手感情和默契越来越好。它们是战斗时的好战友，也是生活中的好伙伴，你甚至会和它说话、玩耍，呼唤它的名字……【拳掌、指法、短柄，修练经验值+100%，上限120。连击机率大幅上升。友好度效果-80%】	10	2	100	11	2	100	16	2	100	60	0	20	61	0	20	66	0	20	34	2	70	26	3	80	27	3	80																		
301	3	0,0	侠义心肠	正气凛然的你，出招之际更是顾盼生威！道德越高，攻击加成越多。【道德100，攻击加成50%】	37	2	50																																										
302	3	0,0	心如蛇蝎	你天生就不知何为怜悯，践踏他人对你而言就是一种享受。道德低落时，心中残忍的一面会更加显现出来！道德越低，攻击加成越多。【道德0，攻击加成50%】	37	3	50																																										
303	3	0,0	带头大哥	天生就是领袖性格。名声越高时，出招更有自信，攻击力连带也就越强！名声越高，攻击加成越多。【名声500，攻击加成60%】	38	2	60																																										
304	3	3,1	老子有钱	家财万贯，含着金汤匙出生的你，身上拥有金钱越多，越能展现富人特有的气派与自信，攻击时更加凌厉！！【现金100万时，攻击加成100%】	39	2	100	40	0	50000																																							
305	3	1,1	救世菩萨	有如菩萨般的心肠，立志救渡众生于苦难，有着无私奉献的精神的你，道德高时，攻击大幅加成。【道德100，攻击加成80%】	37	2	80																																										
306	3	1,1	混世魔王	唯恐天下不乱，无法无天的你，世道越是混乱，你越能从中走出一条血染的道路！道德低时，攻击大幅加成。【道德0，攻击加成80%】	37	3	80																																										
307	3	1,1	心宽体胖	性情和善、心胸开阔，不爱与他人计较，无牵无挂，时常保有一颗快乐的心。正因为如此，食量和身材也较一般人「宽大」。【气血与内力上限提升、食物效果加倍。】	43	0	10000	44	0	10000	46	2	100	47	2	100																																	
