#iType	iID	sAchName	sAchExplain	sUIImage	iEndMove	iCheckType	strCheckValue	iCount
0	10001	武林盟主	盟主好～	Achi10001	1	0	1	1
0	10002	天下霸图	吾皇万岁万万岁！	Achi10002	2	0	2	1
0	10003	安国侯	别抢镜头啊！	Achi10003	3	0	3	1
0	10006	武林霸主	霸…霸主好……	Achi10006	6	0	6	1
0	10007	宝藏王	「想要得到我的宝藏，就去大海上寻找吧，我把宝藏都放在那里了！」[FF0000]【开启天赋：老子有钱】[-]	Achi10007	7	0	7	1
0	10008	时空旅者	疑，前方有个会飞的毯子，上面蓝色的物体是什么？	Achi10008	8	0	8	1
0	10009	逍遥掌门	掌门好！	Achi10001	9	0	9	1
0	10010	逍遥大侠	古人云：逍者，消也。如阳动冰消，虽耗也，不竭其本。遥者，摇也。如舟行水摇，虽动也不伤其内。	Achi10010	10	0	10	1
0	10011	白色异界	嗯～奇怪……有酒的味道……？	Achi10011	11	0	11	1
0	10012	云舟侠侣	摇啊摇～摇啊摇～摇到外婆桥～	Achi10012	12	0	12	1
0	10013	火烧天都峰	失火啦！…失火了……失火…………	Achi10013	98	0	98	1
0	10014	浪子回头	金不换！	Achi10010	97	0	97	1
0	10015	正义的乞丐	盟主线乞丐	Achi10015	91	0	91	1
0	10016	野心的乞丐	龙王线乞丐	Achi10015	92	0	92	1
0	10017	有理想的乞丐	天王线乞丐	Achi10015	93	0	93	1
0	10018	诚王喜欢的乞丐	东厂线乞丐	Achi10015	94	0	94	1
0	10019	皇帝喜欢的乞丐	大忠线乞丐	Achi10015	95	0	95	1
0	10020	有妹子的乞丐	唐冠男乞丐	Achi10020	32	0	32	1
0	10021	讨厌蛇的乞丐	夜叉线乞丐	Achi10015	99	0	99	1
0	10022	弱鸡侠	好……好强的鸡……（躺）	Achi10022	33	0	33	1
0	10023	大漠孤魂	啊……哈哈…咦……	Achi10023	86	0	86	1
0	10024	被背叛的乞丐	大忠线，宝藏岛对玄漓公时战斗失败	Achi10015	87	0	87	1
0	10025	失败的乞丐	大忠线，宝藏岛后战斗失败	Achi10015	88	0	88	1
0	10026	可怜的乞丐	东厂线，宝藏岛对玄漓公时战斗失败	Achi10015	89	0	89	1
0	10027	悲剧的乞丐	东厂线，宝藏岛后战斗失败	Achi10015	90	0	90	1
0	10028	西域使节，大忠	大忠西域使节	Achi10004	13	0	13	1
0	10029	入朝为相	一人之下，万人之上。	Achi10004	14	0	14	1
0	10030	西域使节，东厂	东厂西域使节	Achi10004	15	0	15	1
0	10031	开国功臣	我不是太监！	Achi10004	16	0	16	1
0	10032	紫兮衣兮	朝廷线，沈澜结局	Achi10032	17	0	17	1
0	10033	北风其凉	霸主线，沈澜结局	Achi10032	18	0	18	1
1	20001	一代宗师	开创新武学，成为一代宗师。	Achi20001	53	1	53	1
1	20002	铸剑大师	如同干将，末邪一样。	Achi20002	54	1	54	1
1	20003	食神	精通中国厨艺，并且发扬到西方世界。	Achi20003	55	1	55	1
1	20004	酒神	喝遍中国酒，并且促进西方葡萄酒的诞生。	Achi20004	56	1	56	1
1	20005	文化保存家	修补文化遗产，与盗墓者抗衡。	Achi20005	58	1	58	1
1	20006	炼金术师	带着中国科学与西方接触并发扬光大。	Achi20006	30	1	30	1
1	20007	富甲天下	好多好多的钱。[FF0000]【开启天赋：老子有钱】[-]	Achi20007	51	1	51	1
1	21001	开孤儿院	史燕结局	Achi21001	59	1	59	1
1	21002	民族融合	蓝婷结局	Achi21002	60	1	60	1
1	21003	动物保护	纪玟结局	Achi21003	61	1	61	1
1	21004	神医侠侣	沈湘芸结局	Achi21004	62	1	62	1
1	21005	门派经营	齐丽结局	Achi21005	63	1	63	1
1	21006	圣堂守护	秦红殇结局	Achi21006	64	1	64	1
1	21007	东瀛浪迹	风吹雪结局	Achi21007	65	1	65	1
1	21008	赵雅儿	赵雅儿结局	Achi21008	66	1	66	1
1	21009	植物学家	任清璇结局	Achi21009	67	1	67	1
1	21010	王蓉	王蓉结局	Achi21010	69	1	69	1
1	21011	夜叉	夜叉结局	Achi10012	49	1	49	1
1	21012	情圣	情圣结局[FF0000]【开启天赋：前世情缘】[-]	Achi21012	68	1	68	1
1	21013	琴瑟和鸣	仙音结局	Achi21013	31	1	31	1
1	22001	剑侠情缘	傅剑寒、赵雅儿结局	Achi22001	48	1	48	1
1	22002	齐丽关伟	齐丽、关伟结局	Achi22002	75	1	75	1
1	22003	欢喜冤家	荆棘、小师妹结局	Achi22003	72	1	72	1
1	22004	东瀛浪客	荆棘结局	Achi22004	73	1	73	1
1	22005	济世救人	沈澜、沈湘芸结局	Achi22005	71	1	71	1
1	22006	共饮杜康	酒友结局	Achi22006	46	1	46	1
1	22007	合家团圆	逍遥谷结局	Achi22007	74	1	74	1
1	22008	乘鹰快婿	朝廷线，薇霓结局	Achi22008	76	1	76	1
1	22009	盟主黄沙紫衣	盟主线，有追沈澜	Achi22009	77	1	77	1
1	22010	大忠东厂黄沙紫衣	朝廷线，攻略沈澜失败	Achi22009	78	1	78	1
1	22011	再世孟尝	日中有客为知己，天下谁人不识君?	Achi22010	79	1	79	1
1	23001	儿时记趣︻一︼	月轩逗鱼	Achi00014	DevelopQ_1607	10	1125001	0
1	23002	儿时记趣︻二︼	月轩的背影	Achi00014	DevelopQ_1608	10	1125001	0
1	23003	儿时记趣︻三︼	荆棘中的荆棘	Achi00014	DevelopQ_1601	10	1125001	0
1	23004	儿时记趣︻四︼	师傅请喝改口茶	Achi00014	DevelopQ_1602	10	1125001	0
1	23005	儿时记趣︻五︼	好动的荆棘	Achi00014	DevelopQ_1603	10	1125001	0
1	23006	儿时记趣︻六︼	活泼的荆棘	Achi00014	DevelopQ_1604	10	1125001	0
1	23007	儿时记趣︻七︼	睡觉的荆棘	Achi00014	DevelopQ_1605	10	1125001	0
1	23008	儿时记趣︻八︼	被围观睡觉的荆棘	Achi00014	DevelopQ_1606	10	1125001	0
1	23009	师傅墨宝	师傅墨宝「道」	Achi00015	DevelopQ_0008	10	1101001	0
1	23010	鬼画符	我写的草书「道」	Achi00015	DevelopQ_0007	10	1101001	0
1	23011	三人成侠	三人成众，以众人之力成人之大者，如大忠，大孝，大仁，大爱等，谓之「侠」也。	Achi00015	DevelopQ_1612	10	2011001	0
1	23012	三侠戏水	「呜噗！二师兄，你忒使劲了！」「哼哼！跟我比泼水，你内力差远了！」「可恶，总有一天把你泼得惨兮兮！」	Achi00014	DevelopQ_1610	10	1000093	0
1	23013	虞美人花	丽春花，坊间传言是虞姬墓上的一种仙草，故称为虞美人花，无风自摇，像一个美人在翩翩起舞，传说这是虞姬所化。花期在春季，花色有红、粉红、白、黄、橙、紫红等数种。	Achi00017	DevelopQ_0010	10	1103001	0
1	23014	仙人掌花	仙人掌花的花期不一定，花都开在多刺的茎上。	Achi00017	DevelopQ_0011	10	1103001	0
1	23015	含笑花	含笑花，苞润如玉，好似佳丽女子的笑容一般，再加上香幽若兰，就成诗人曾歌咏之对象。同时花茶可以使人心情愉悦，还具有活血调筋、养肤养颜之功效。	Achi00017	DevelopQ_0012	10	1103001	0
1	23016	抓破美人脸	白色山茶花，白瓣而有一抹绿晕、一丝红条。	Achi00017	DevelopQ_3201	10	7500030	0
1	23017	眼儿媚	白色山茶花，白瓣上有两个橄榄核儿黑斑。	Achi00017	DevelopQ_3204	10	7500030	0
1	23018	红妆素里	白色山茶花，白瓣而有洒红斑。	Achi00017	DevelopQ_3203	10	7500030	0
1	23019	倚兰娇	白色山茶花，白瓣上多红条，无绿晕。	Achi00017	DevelopQ_3202	10	7500030	0
1	23020	八仙过海	大里茶花，八朵异色同株，且必须有深紫和淡红的花各一朵，那便是铁拐李和何仙姑。	Achi00017	DevelopQ_3205	10	7500010	0
