#iAbilityID	iType	iNeedMaterial1	iAmount1	iNeedMaterial2	iAmount2	iNeedMaterial3	iAmount3	iNeedMaterial4	iAmount4	iNeedMaterial5	iAmount5	iCanMakeLv	iConName
10401	0	100158	1	100163	2	0	0	0	0	0	0	0	i00295
10402	0	100162	1	100164	1	100169	1	0	0	0	0	0	i00299
10403	0	100170	1	100172	1	100186	1	100183	1	0	0	40	i00302
10404	0	100178	1	100166	1	100177	1	100182	1	0	0	60	i00296
10405	0	100187	2	100152	2	0	0	0	0	0	0	20	i00297
10406	0	100151	2	100154	2	100171	1	100169	1	0	0	20	i00300
10407	0	100156	1	100165	1	100177	1	0	0	0	0	30	i00298
10408	0	100167	1	100168	1	100177	1	0	0	0	0	40	i00301
10409	0	100185	1	100182	2	100178	2	100170	1	100169	1	80	i00303
10410	0	100283	1	100174	2	100176	2	100156	2	100179	2	100	i00307
10451	1	100703	2	100704	2	0	0	0	0	0	0	0	i00157
10452	1	100701	2	100702	2	0	0	0	0	0	0	0	i00158
10453	1	310013	4	100708	2	0	0	0	0	0	0	0	i00320
10454	1	310014	4	310013	4	100706	3	0	0	0	0	0	i00319
10455	1	100701	4	100702	4	100703	5	100704	5	100705	4	0	i00317
10456	1	310013	6	310014	6	100707	2	100709	4	0	0	0	i00311
10457	1	310013	3	310014	3	0	0	0	0	0	0	0	i00315
10458	1	100706	7	100709	6	0	0	0	0	0	0	0	i00316
10459	1	100706	7	100707	7	100708	7	100709	7	100710	7	0	i00318
10460	1	100706	8	100707	3	100709	10	0	0	0	0	0	i00310
10501	2	100001	8	0	0	0	0	0	0	0	0	0	i00504
10502	2	100001	12	100002	4	0	0	0	0	0	0	0	i00506
10503	2	100001	20	100002	10	100003	5	0	0	0	0	30	i00509
10504	2	100003	10	100004	4	100005	2	0	0	0	0	50	i00409
10505	2	100007	10	100008	5	100009	2	0	0	0	0	90	i00412
10506	2	100001	10	0	0	0	0	0	0	0	0	0	i00505
10507	2	100001	10	100002	5	100003	5	0	0	0	0	20	i00507
10508	2	100001	10	100002	10	100003	10	0	0	0	0	40	i00510
10509	2	100004	20	100005	10	100006	5	0	0	0	0	60	i00414
10510	2	100006	10	100007	5	100008	1	0	0	0	0	90	i00416
10511	2	100001	10	100002	2	0	0	0	0	0	0	0	i00508
10512	2	100003	10	100004	10	0	0	0	0	0	0	20	i00417
10513	2	100001	20	100006	5	100007	5	0	0	0	0	80	i00516
10514	2	100001	20	100002	10	0	0	0	0	0	0	50	i00511
10515	2	100004	10	100005	5	100006	2	0	0	0	0	60	i00410
10516	2	100005	5	100006	5	100007	4	0	0	0	0	70	i00411
10517	2	100003	10	100004	15	100005	2	0	0	0	0	50	i00413
10518	2	100006	5	100007	4	100008	2	0	0	0	0	60	i00415
10519	2	100005	10	100008	2	100009	2	0	0	0	0	80	i00418
10520	2	600006	1	100004	10	100007	10	100009	1	0	0	60	i00326
10521	2	600002	1	0	0	0	0	0	0	0	0	30	i00322
10522	2	600003	1	100003	10	0	0	0	0	0	0	40	i00323
10523	2	600004	1	600014	1	100004	5	0	0	0	0	50	i00334
10524	2	100002	10	0	0	0	0	0	0	0	0	30	i00484
10525	2	100002	20	0	0	0	0	0	0	0	0	50	i00198
10526	2	100015	1	0	0	0	0	0	0	0	0	50	i00700
10527	2	100015	1	0	0	0	0	0	0	0	0	50	i00701
10528	2	100015	1	0	0	0	0	0	0	0	0	50	i00702
10529	2	100015	1	0	0	0	0	0	0	0	0	50	i00704
10530	2	100015	1	0	0	0	0	0	0	0	0	50	i00703
10531	2	100015	1	0	0	0	0	0	0	0	0	50	i00706
10532	2	100015	1	0	0	0	0	0	0	0	0	50	i00705
10535	2	100009	10	600001	1	600011	1	0	0	0	0	100	i00321
10536	2	100009	10	600003	1	600012	1	0	0	0	0	100	i00332
10537	2	100009	10	600004	1	0	0	0	0	0	0	100	i00324
10538	2	100009	10	600005	1	0	0	0	0	0	0	100	i00325
10539	2	100009	10	600029	1	0	0	0	0	0	0	100	i00326
10540	2	100009	10	600007	1	0	0	0	0	0	0	100	i00327
10541	2	100009	10	600008	1	0	0	0	0	0	0	100	i00328
10542	2	100009	10	600009	1	0	0	0	0	0	0	100	i00329
10543	2	100009	10	600010	1	0	0	0	0	0	0	100	i00330
10544	2	100009	10	600013	1	0	0	0	0	0	0	100	i00333
10545	2	100009	10	600014	1	0	0	0	0	0	0	100	i00354
10546	2	100009	10	600015	1	0	0	0	0	0	0	100	i00335
10547	2	100009	10	600016	1	0	0	0	0	0	0	100	i00336
10548	2	100009	10	600017	1	0	0	0	0	0	0	100	i00337
10549	2	100009	10	600018	1	0	0	0	0	0	0	100	i00338
10550	2	100009	10	600020	1	0	0	0	0	0	0	100	i00340
10551	2	100009	10	600021	1	0	0	0	0	0	0	100	i00341
10552	2	100009	10	600022	1	0	0	0	0	0	0	100	i00342
10553	2	100009	10	600023	1	0	0	0	0	0	0	100	i00343
10554	2	100009	10	600101	1	0	0	0	0	0	0	100	i00345
10555	2	100009	10	600102	1	0	0	0	0	0	0	100	i00358
10556	2	100009	10	600103	1	0	0	0	0	0	0	100	i00347
10557	2	100009	10	600104	1	0	0	0	0	0	0	100	i00348
10558	2	100009	10	600105	1	0	0	0	0	0	0	100	i00349
10559	2	100009	10	600106	1	0	0	0	0	0	0	100	i00350
10560	2	100009	10	600108	1	0	0	0	0	0	0	100	i00352
10561	2	100009	10	600109	1	0	0	0	0	0	0	100	i00353
10562	2	100009	10	600110	1	0	0	0	0	0	0	100	i00354
10563	2	100009	10	600111	1	0	0	0	0	0	0	100	i00355
10564	2	100009	10	600112	1	0	0	0	0	0	0	100	i00356
10565	2	100009	10	600113	1	0	0	0	0	0	0	100	i00357
10566	2	100009	10	600114	1	0	0	0	0	0	0	100	i00346
10567	2	100009	10	600115	1	0	0	0	0	0	0	100	i00359
10568	2	100009	10	600117	1	0	0	0	0	0	0	100	i00361
10569	2	100009	10	600118	1	0	0	0	0	0	0	100	i00361
10570	2	100009	10	600119	1	0	0	0	0	0	0	100	i00362
10571	2	100009	10	600120	1	0	0	0	0	0	0	100	i00364
10572	2	100009	10	600301	1	0	0	0	0	0	0	100	i00372
10573	2	100009	10	600302	1	0	0	0	0	0	0	100	i00373
10574	2	100009	10	600303	1	0	0	0	0	0	0	100	i00374
10575	2	100009	10	600304	1	0	0	0	0	0	0	100	i00375
10576	2	100009	10	600305	1	0	0	0	0	0	0	100	i00376
10577	2	100009	10	600306	1	0	0	0	0	0	0	100	i00377
10578	2	100009	10	600308	1	0	0	0	0	0	0	100	i00379
10579	2	100009	10	600309	1	0	0	0	0	0	0	100	i00380
10580	2	100009	10	600401	1	0	0	0	0	0	0	100	i00382
10581	2	100009	10	600402	1	0	0	0	0	0	0	100	i00383
10582	2	100009	10	600403	1	0	0	0	0	0	0	100	i00384
10583	2	100009	10	600404	1	0	0	0	0	0	0	100	i00385
10584	2	100009	10	600501	1	0	0	0	0	0	0	100	i00512
10585	2	100009	10	600502	1	0	0	0	0	0	0	100	i00513
10586	2	100009	10	600504	1	0	0	0	0	0	0	100	i00515
10587	2	100009	10	600505	1	0	0	0	0	0	0	100	i00275
10588	2	100009	10	600506	1	0	0	0	0	0	0	100	i00281
10589	2	100009	10	600601	1	0	0	0	0	0	0	100	i00710
10590	2	100009	10	660001	1	0	0	0	0	0	0	100	i00387
10591	2	100009	10	660002	1	0	0	0	0	0	0	100	i00388
10592	2	100009	10	660003	1	0	0	0	0	0	0	100	i00389
10593	2	100009	10	660004	1	0	0	0	0	0	0	100	i00390
10594	2	100009	10	660005	1	0	0	0	0	0	0	100	i00391
10595	2	100009	10	670001	1	0	0	0	0	0	0	100	i00401
10596	2	100009	10	670003	1	0	0	0	0	0	0	100	i00403
10597	2	100009	10	670004	1	0	0	0	0	0	0	100	i00404
10598	2	100009	10	670005	1	0	0	0	0	0	0	100	i00405
