#iArea	iClipID	bStart	iNextClipID	iLinkID	TriggerType	TriggerData	RequireType	RequireEqual	iRequireValue1	iRequireValue2	iTriggerPercent	TriggerEvent	iTriggerEventArg1	iTriggerEventArg2	iTriggerEventArg3	iGroup	irepeat
100021	1	1	2	0	0	0	0	0	0	0	0	0	910002101	1	0	0	0
100021	2	0	3	0	0	0	0	0	0	0	0	0	910002101	2	0	0	0
100021	3	0	4	0	0	0	0	0	0	0	0	0	910002101	3	0	0	0
100021	4	0	5	0	0	0	0	0	0	0	0	0	910002101	4	0	0	0
100021	5	0	6	0	0	0	0	0	0	0	0	0	910002101	5	0	0	0
100021	6	0	7	0	0	0	0	0	0	0	0	0	910002101	6	0	0	0
100021	7	0	8	0	0	0	0	0	0	0	0	0	910002101	7	0	0	0
100021	8	0	9	0	0	0	0	0	0	0	0	0	910002101	8	0	0	0
100021	9	0	10	0	0	0	0	0	0	0	0	0	910002101	9	0	0	0
100021	10	0	11	0	0	0	0	0	0	0	0	0	910002101	10	0	0	0
100021	11	0	0	0	0	0	0	0	0	0	0	0	910002101	11	0	0	0
100021	12	1	13	0	6	2	0	0	0	0	0	0	910002101	12	0	0	0
100021	13	0	14	0	0	0	0	0	0	0	0	0	910002101	13	0	0	0
100021	14	0	15	0	0	0	0	0	0	0	0	1	10001401	0	0	0	0
100021	15	0	16	0	0	0	0	0	0	0	0	1	10001502	0	0	0	0
100021	16	0	17	0	0	0	0	0	0	0	0	1	10001602	0	0	0	0
100021	17	0	18	0	0	0	0	0	0	0	0	0	910002101	14	0	0	0
100021	18	0	19	0	0	0	0	0	0	0	0	0	910002101	15	0	0	0
100021	19	0	20	0	0	0	0	0	0	0	0	0	910002101	16	0	0	0
100021	20	0	0	0	0	0	0	0	0	0	0	0	910002101	17	0	0	0
100021	21	1	22	0	9	1	0	0	0	0	0	1	10001103	1	0	0	0
100021	22	0	0	0	0	0	0	0	0	0	0	0	910002101	18	0	0	0
100021	23	1	24	0	5	10001103	0	0	0	0	0	0	910002101	19	0	0	0
