#iEndID	iOpenType	strOpenCondition
53	1	(0,0,400)*(0,1,400)*(0,4,80)
54	1	(3,0,100)*(3,5,100)
55	1	(3,8,100)
56	1	(4,6,100)
58	1	(3,6,100)*(4,4,100)*(4,5,100)
30	1	(4,2,100)*(3,0,100)*(3,4,100)
51	1	(7,0,500000)
59	1	(5,100059,100)*(6,0,9009543)
60	1	(5,100058,100)*(6,0,10015003)
61	1	(5,100056,100)*(6,0,9009765)
62	1	(5,100035,100)*(6,0,8051204)
63	1	(5,100060,100)*(6,0,8054072)
64	1	(5,100057,100)*(6,0,9007005)
65	1	(5,100061,100)*(6,0,9009677)
66	1	(5,100055,100)*(6,0,9008518)
67	1	(5,100054,100)*(6,0,9101053)
69	1	(5,100021,100)*(6,0,3032009)
49	1	(6,0,7800041)*(6,0,6014034)
68	1	(5,100059,100)*(5,100058,100)*(5,100057,100)*(5,100056,100)*(5,100055,100)*(5,100054,100)*(5,100060,100)*(5,100021,100)*(5,100061,100)*(5,100035,100)*(6,0,9009543)*(6,0,10015003)*(6,0,9009765)*(6,0,8051204)*(6,0,8054072)*(6,0,9007005)*(6,0,9009677)*(6,0,9008518)*(6,0,9101053)*(6,0,3032009)*(6,0,6002123)
31	1	(6,0,M99000166)
48	1	(6,0,9008507)
75	1	(6,0,10001047)
72	1	(6,0,3032008)*(6,0,6014034)
73	1	(5,100021,100)*(6,0,3032009)*(6,0,6002123)*(6,0,6014034)
71	1	(4,3,100)*(5,100035,100)*(5,100033,100)*(6,0,2073007)*(6,0,6014034)
46	1	(5,100091,100)*(5,100092,100)*(5,100094,100)*(6,0,6014034)*(6,0,7900003)
47	1	(5,100091,100)*(5,100092,100)*(5,100094,100)*(6,0,6014030)*(6,0,7900003)
74	1	(5,100021,100)*(5,100015,100)*(5,100016,100)*(5,100017,100)*(5,100019,100)*(6,0,6014034)
76	1	(6,0,M99000169)
77	1	(6,0,7910058)*(6,0,6014030)
78	1	(6,0,M99000168)
79	1	(6,0,7920123)*(6,0,7900131)*(6,0,10007001)*(6,0,4050001)*(5,100091,100)*(5,100092,100)*(5,100094,100)*(5,100098,100)*(5,100297,100)*(5,100299,100)*(5,100072,100)*(5,100085,100)*(5,100078,100)*(5,100036,100)*(5,100043,100)*(5,100089,100)*(5,100081,100)*(5,100096,100)*(5,100066,100)
