#iID	iType	iCondition	iArg1	iArg2	iDevelopType	iArg3	sImage	sBackground	sMusic	sEndAdd	iPhy	iSaveQuestID
1092001	0	0	0	0	0	1092001	0	060400HIP	10153	0	0	0
1093001	4	7	1	30	0	1093001	DevelopBtn_52	060400HIP	10153	1093009	0	1
1093009	0	0	0	0	0	1093009	0	060405HIP	10153	0	0	0
1094001	4	7	1	30	0	1094001	DevelopBtn_52	060402HIP	10153	0	0	1
1095001	0	0	0	0	0	1095001	0	060400HIP	10153	1095002	0	1
1095002	0	0	0	0	0	1095002	0	060405HIP	10153	0	0	0
1095003	4	2,9	100019,1095001	50,0	0	1095003	0	060405HIP	10153	0	0	1
1095004	4	2,9	100019,1095003	70,0	0	1095004	0	060405HIP	10153	0	0	1
1095005	4	2,9	100019,1095004	90,0	0	1095005	0	060405HIP	10153	0	0	1
1101001	4	7	1	30	0	1101001	DevelopBtn_52	060402HIP	10153	0	0	1
1102001	4	7	31	45	0	1102001	DevelopBtn_52	060402HIP	10153	0	0	1
1103001	4	7	1	30	0	1103001	DevelopBtn_52	060405HIP	10153	0	0	1
1105001	0	2	100017	10	0	1105001	0	060400HIP	10153	0	0	0
1105002	0	0	0	0	0	1105002	0	060400HIP	10153	0	0	0
1105006	0	0	0	0	0	1105006	0	060400HIP	10153	1105007	0	0
1105007	0	0	0	0	0	1105007	0	060406HIP	10153	1105008	0	0
1105008	0	0	0	0	2	0	0	063500HIP	10153	0	0	0
1106001	0	0	0	0	0	1106001	0	060400HIP	10153	0	0	0
1112001	0	0	0	0	0	1112001	0	060402HIP	10055	0	0	0
1114001	0	0	0	0	0	1114001	0	060405HIP	10055	0	0	0
1114003	0	0	0	0	0	1114003	0	060405HIP	10055	1114006	0	0
1114005	0	0	0	0	0	1114005	0	060405HIP	10055	1114006	0	0
1114006	0	0	0	0	0	1114006	0	060400HIP	10055	1114007	0	0
1114007	0	0	0	0	0	1114007	0	060405HIP	10055	0	0	0
1122001	0	0	0	0	0	1122001	0	060405HIP	10056	0	0	0
1125001	0	0	0	0	0	1125001	0	060402HIP	10056	0	0	1
2011001	0	0	0	0	0	2011001	0	060402HIP	M900100	0	0	1
2013001	0	0	0	0	0	2013001	0	060402HIP	10056	0	0	0
2021001	0	0	0	0	0	2021001	0	060405HIP	10056	0	0	0
2021002	0	0	0	0	0	2021002	0	060405HIP	10056	0	0	0
2021003	0	0	0	0	0	2021003	0	060405HIP	10056	0	0	0
2021004	0	0	0	0	0	2021004	0	060405HIP	10056	0	0	0
2021005	0	0	0	0	0	2021005	0	060405HIP	10056	0	0	0
2022001	0	0	0	0	0	2022001	0	060405HIP	10056	2022002	0	0
2022002	0	0	0	0	3	100117	0	060405HIP	10153	0	0	0
2022003	0	0	0	0	0	2022003	0	060405HIP	10153	0	0	0
2024001	4	9,7	1094001,21	0,30	0	2024001	DevelopBtn_52	060402HIP	10056	2024002	0	1
2024002	0	0	0	0	0	2024002	0	060402HIP	10056	0	0	0
2034001	0	0	0	0	0	2034001	0	060405HIP	10053	2034006	0	0
2034002	4	7	31	71	0	2034002	0	060405HIP	10053	0	0	1
2034003	0	0	0	0	0	2034003	0	060443HIP	10053	2034004	0	0
2034004	0	0	0	0	3	210009	0	060443HIP	10053	0	0	0
2034005	0	0	0	0	0	2034005	0	060443HIP	10053	0	0	0
2034006	0	0	0	0	0	2034006	0	060405HIP	10053	2034003	0	0
2041001	0	9	8011000	0	0	2041001	0	060405HIP	10053	2041005	0	0
2041002	0	0	0	0	0	2041002	0	060405HIP	10053	2041005	0	0
2041005	0	0	0	0	0	2041005	0	060402HIP	10053	0	0	0
2042001	0	0	0	0	0	2042001	0	060405HIP	10053	0	0	0
2051001	0	5	8	30	0	2051001	0	060439HIP	M900100	0	0	0
2051002	0	0	0	0	0	2051002	0	060439HIP	M900100	0	0	0
2052001	0	0	0	0	0	2052001	0	060402HIP	10053	2052002	0	0
2052002	0	0	0	0	8	6	0	060402HIP	10053	0	0	0
2054001	4	7	31	45	0	2054001	DevelopBtn_52	060402HIP	10053	0	0	1
2063001	6	9,7	1101001,21	0,39	0	2063001	DevelopBtn_59	060434HIP	10054	0	0	1
2063002	0	0	0	0	0	2063002	0	060434HIP	10054	2063003	0	0
2063003	0	0	0	0	3	700007	0	060434HIP	10054	0	0	0
2063004	0	0	0	0	0	2063004	0	060434HIP	10054	0	0	1
2063005	0	0	0	0	0	2063005	0	060434HIP	10054	0	0	0
2071001	0	0	0	0	0	2071001	0	060405HIP	M000300	2071002	0	0
2071002	5	9,7	1093001,21	0,30	0	2071002	0	060423HIP	M000300	0	0	1
2071007	0	0	0	0	0	2071007	0	060423HIP	M000300	0	0	0
2071008	0	0	0	0	0	2071008	0	060423HIP	M000300	0	0	0
2073001	0	0	0	0	0	2073001	DevelopBtn_48	060423HIP	M000300	2073002	0	0
2073002	0	0	0	0	0	2073002	0	060436HIP	10054	0	0	0
2075001	0	0	0	0	0	2075001	0	060402HIP	10054	2075002	0	1
2075002	0	0	0	0	8	11	0	060402HIP	10053	0	0	0
2075008	0	13	10031001	0	0	2075008	0	060402HIP	10054	0	0	0
2075009	0	0	0	0	0	2075009	0	060402HIP	10054	0	0	0
2083001	0	0	0	0	0	2083001	0	060431HIP	Develop_005	0	0	0
2111001	0	0	0	0	0	2111001	0	060402HIP	10153	0	0	0
2111003	0	0	0	0	0	2111003	0	060402HIP	10153	2111002	0	1
