#iItemID	sItemName	iItemKint	iTtemType	sIcon	sTip	iItemBuy	iItemSell	iItemStack	iMixStack	iItemUse	iUseTime	iAddType	iRecover1	iArg1	iValue1	iString	iRecover2	iArg2	iValue2	iString	iRecover3	iArg3	iValue3	iString	iString	iLocking	iAmsType	sNpcLike	sUseLimit	tip	sell
100001	铁矿石	5	0	i00001	铁矿，是普通制作兵器的基本原料。	60 	30 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10001	0	0	0	0	0
100002	铜矿石	5	0	i00002	铜矿石，古时打造武器的材料。	120 	60 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10002	0	0	0	0	0
100003	黑晶矿	5	0	i00003	不一般的铁矿，能够制作出品质出众的兵器。	240 	120 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10003	0	0	0	0	0
100004	白晶矿	5	0	i00004	不一般的铁矿，能够制作出品质出众的兵器。	480 	240 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10004	0	0	0	0	0
100005	黄晶矿	5	0	i00005	不一般的铁矿，能够制作出品质出众的兵器。	960 	480 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10005	0	0	0	0	0
100006	红晶矿	5	0	i00006	不一般的铁矿，能够制作出品质出众的兵器。	1600 	800 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10006	0	0	0	0	0
100007	蓝晶矿	5	0	i00007	不一般的铁矿，能够制作出品质出众的兵器。	2400 	1200 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10007	0	(100019,20)*(100094,30)	0	0	0
100008	绝龙骨	5	0	i00008	稀有矿物，可以制造出稀有质量的兵器。	3200 	1600 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10008	0	(100019,30)*(100094,40)	0	0	0
100009	钛金属	5	0	i00009	稀有矿物，由黑色石头中炼出，质轻地坚，可以制造出稀有质量的兵器。	4000 	2000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10009	0	(100019,40)*(100094,50)	0	0	0
100010	石灰粉	5	0	i00485	初入江湖必备，当年江湖奇人小白龙曾用此救了他的师父一命。	10 	1 	0	999	1	2	0	15	900000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100011	香灰	5	0	i00485	佛祖的礼物。比石灰粉更有神效。	100 	10 	0	999	1	2	0	15	900000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100012	泥丸子	5	0	i00272	臭烘烘的泥丸，战斗中使用，可使敌人陷入恶心状态……臭，真是臭啊！	0 	1 	0	999	1	2	0	15	900000003	0	0	0	0	0	0	0	0	0	0	0	0	0	(100015,-50)*(100016,-50)*(100017,-50)*(100019,30)*(100021,-50)*(100026,-50)*(100027,-50)*(100028,-50)*(100029,-50)*(100030,-50)*(100031,-50)*(100033,-50)*(100035,-50)*(100036,-50)*(100037,-50)*(100043,-50)*(100054,-50)*(100055,-50)*(100056,-50)*(100057,-50)*(100058,-50)*(100059,-50)*(100060,-50)*(100065,-50)*(100066,-50)*(100072,-50)*(100075,-50)*(100078,-50)*(100081,-50)*(100082,-50)*(100085,-50)*(100089,-50)*(100091,-50)*(100092,-50)*(100094,-50)*(100096,-50)*(100098,-50)*(100134,-50)*(100135,-50)*(100297,-50)*(100299,-50)*(100008,-50)*(100419,30)*(990013,-10)	0	0	0
100013	霹雳雷火弹	5	0	i00385	霹雳堂特制的炸药，可造成敌人可观的伤害。	0 	1 	0	999	1	2	0	15	900000004	0	0	0	0	0	0	0	0	0	0	0	0	0	(100057,20)*(100059,30)*(100061,30)*(100062,30)*(100081,40)*(100082,40)	0	0	0
100014	断魂蚀骨丸	5	0	i00316	毒龙教特制的奇毒，使用后可造成周遭两圈内的敌人剧毒缠身。	0 	1 	0	999	1	2	0	15	900000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100015	玄铁石	5	0	i00707	传说来自于天火，延展性高，可硕性强，适合做成各类武器，锻造后极度坚硬，是非常稀有的矿石。	10000 	5000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10011	0	(100019,80)*(100094,80)	0	0	0
100051	箭枝	4	5	i00010	打猎工具，需要有弓才能使用。	2 	1 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100052	响箭	4	0	i00011	只有配合弓才能使用，该箭制作相当特殊，通过发射，将能产生尖锐的声响，在江湖上多被用作传信。	4 	2 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100053	木弓	4	5	i00012	打猎时一般和弓箭一起使用，是日常用具。	400 	200 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100054	黄桦弓	4	5	i00013	打猎装备。黄桦木所制。	2000 	1000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100055	黑漆弓	4	5	i00014	打猎装备。黑漆木所制。	3400 	1700 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100056,20)	0	0	0
100056	金线弓	4	5	i00015	打猎装备。弦以金线所制，品质优秀。	7000 	3500 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100056,20)	0	0	0
100057	麻背弓	4	5	i00016	打猎装备。弓身轻且强韧。	12000 	6000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100056,20)	0	0	0
100058	神臂弓	4	5	i00017	打猎装备。坊间传闻是宋朝李宏所铸，弓质尤为坚实，曾用于作战让金军颇为忌惮。	18000 	9000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100056,30)	0	0	0
100059	克敌弓	4	5	i00018	打猎装备。为宋朝韩世忠改进后的神臂弓，曾令金军听闻色变,不仅射程极远，还有强大的杀伤力。	28000 	14000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100056,30)	0	0	0
100060	射鵰弓	4	5	i00019	打猎用具。以九曲木、天蚕丝制成；威力极大、射速极快，最适合用来猎奇珍异兽。	40000 	20000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100056,40)	0	0	0
100101	铲子	4	0	i00020	挖矿的基本工具。	50 	15 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100102	木制钓竿组	4	7	i00021	用高品质的桑木做其身，用以钓鱼。	400 	100 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100103	竹制钓竿组	4	7	i00022	寻常人家制作钓竿通常使用手工刮刀，然后拼接而成。	2000 	500 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100092,20)	0	0	0
100104	芦竹钓竿组	4	7	i00023	使用青芦竹风干半年后制作而成，弹性好，具有较强的硬度。	4000 	1000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100092,30)	0	0	0
