#iID	sTip		sTimeBtn
10001	与谷月轩共退陕北十三大盗。在洛阳喝酒庆祝时，误饮玄冥子的毒酒而被谷月轩送入逍遥谷治疗。		100161
10002	<N#>拜入逍遥谷门下，成为逍遥派的三弟子。这天他也认识了老爱找他麻烦的荆棘。		100161
10003	无瑕子传授<N#>逍遥心法，学会内功的修练，知道修习内功可以提升气血与内力。		100161
10004	无瑕子传授<N#>硬功的修练方法，可以提升防御力，达到减伤的效果。		100161
10005	师父无瑕子传授<N#>软功的修练方法，可以提升额外伤害与反击力。		100161
10006	无瑕子传授<N#>轻功的修练方法，知道修习轻功可以增加移动力。		100161
10007	无瑕子传授<N#>眼功的修练方法，可以提升会心一击的能力。		100161
10008	无瑕子传授<N#>耳功的修练方法，可以提高闪避的能力。		100161
10009	无瑕子传授<N#>逍遥拳法，逍遥剑法，逍遥刀法。		100161
10010	<N#>不明事理的帮了恶贼黄骆，了解了江湖险恶。同时也结识了满腔热血的女中豪杰秦姑娘。		100162
10011	<N#>在整理仓库时，发现师父遗失好久的宝贝，那是丹青帮谷月轩与荆棘小时候作的画。		100161
20001	新年，<N#>领到师父过年发的红包。学习到只要多巴结师父，就能领到大红包。		100162
20002	师父的好友花痴前辈送了我一盆牡丹花，要我好好照顾，明年好参加洛阳花会大赛。		100162
20003	师父告诉<N#>平常要多帮老胡从事打杂与生产，好维持逍遥谷的开销。生产也是赚钱最快的管道。		100162
20004	在森林遇到玄冥子师叔，师叔唆使<N#>跟着他学习毒功，并说年底还会再来一趟。		100162
20005	<N#>不小心误食怪医少女的毒药，在往后的半年内，必须定期闲晃忘忧谷进行排毒。		100162
20006	<N#>与师兄在森林救了神医前辈，并从大师兄口中得知神秘的杀手组织天意城。		100162
20007	<N#>帮师父送礼到忘忧谷，日后也开始可以前往忘忧谷修练各种技艺。在忘忧谷拯救了神偷史燕。		100162
20008	<N#>与两位师兄奉师父之命，前往洛阳江府送礼，参加江天雄大侠的寿宴，并勇抗天龙教凶徒。		100162
20009	师父允许<N#>可以闲逛更多的地点。不过师父也告诫不要经常到处乱跑，否则他会不高兴的。		100162
20010	受虚真之邀，上少林寺参加盂兰盆法会，遇上前来寻衅的利空法王。		100162
21301	与书生、丹青游杭州。书生与丹青要你在戌时到杭州怡春院与他们会合。怡春院在杭州北面。		100162
21302	杭州西面的龙井村可以进行打猎、采药、钓鱼、挖矿等生产活动。		100162
21303	遇见了不似中原人的外族女子，似乎在寻找甚么金发钗。		100162
21304	原来外族女子遗失的金发钗，是被五岳四龙捡到并拿去当铺典当了。		100162
21305	在当铺赎回金发钗交还外族女子，得知她叫蓝婷，并且还是赫赫有名的毒龙教教主。		100162
21306	从徐子易口中得知史燕也来到了杭州，并且似乎犯下了大案，名捕史刚正在捉拿史燕。		100162
21307	史燕委托<N#>替她找到藏于杭州城内的赃物，赃物都锁在宝箱中，并安置于杭州各隐蔽处。		100162
21308	<N#>在杭州巧遇江瑜，并从江瑜口中得知杭州发生了一起离奇命案，史刚已至杭州衙门支援。		100162
21309	<N#>在杭州再遇酒肉和尚无颠大师，无颠大师给了<N#>一千钱，委托购买包子与丹阳封缸酒。		
21310	<N#>在杭州体验了名菜龙井虾仁。想学习龙井虾仁，需要新鲜的虾仁与龙井嫩叶。		
21311	<N#>通过重重考验，见到了在杭州的江南第一名妓香儿。		100162
21312	<N#>与书生丹青会合，三人决定前往杭州破庙与丐帮弟兄会合，商议正事。		100162
21313	<N#>决定与丐帮弟兄前往灵隐寺，救出被东厂阉党囚禁的戚将军。		100162
21314	<N#>决定与霹雳堂秦红殇等人前往杭州港口，救出被海鲨帮运往倭岛的三百名奴隶。		100162
21315	原来海鲨帮亦是忠义之士，奴隶船上的三百壮士皆身负武功，意图潜入倭岛大杀四方。		100162
21316	<N#>与丐帮弟兄勇闯龙潭，力战群奸，解救了戚将军于水深火热。		100162
30001	清明时节雨纷纷。<N#>的千叶牡丹就是当前在洛阳牡丹花会被选出的花王。		100163
30002	<N#>与小师妹奉师命到成都城，前往芙蓉坊拜会年老师傅。		100163
30003	在年老师傅与小师妹准备菜肴的空档，<N#>决定先到成都城内，拜会绝刀门、唐门、百草门。		100163
30004	<N#>发现唐冠南就是成都城内毒杀乞丐的凶手，并与唐冠南发生激烈的冲突。		100163
30005	帮助小师妹搜集食材准备厨艺大赛。分别需要野熊肉、百里香、辣椒、月蓝草、稻香米。		100163
30006	<N#>与小师妹于厨艺大赛助芙蓉坊得到优胜，并揭穿了天龙教爪牙公孙坚的阴谋。		100163
40001	谷月轩携手<N#>前往阴山成功平定黑风寨，双煞也在劫难逃被悉数捉拿		100163
40002	<N#>于华山少年英雄会夺魁之后，从此名声在外，响彻整个武林。		100163
40004	<N#>助江瑜在白马寺力战利空法王，保住了白马寺的四十二章经。		100164
50001	天剑门与绝刀门的恩怨已成功化解这都是<N#>的功劳，他们在凌云窟已整合成刀剑门。		100164
50002	<N#>成功识破了百草门与夜叉要在苗疆对毒龙教实施的诡计，故而受苗人称颂。		100164
50003	<N#>在苗疆帮助百草门歼灭毒龙教。毒龙教由黄娟继位，原教主蓝婷则被关押在天龙教中。		100164
50004	<N#>助燕宇揭穿紫阳子与魔教的计谋，保住青城派不被魔教并吞。		100164
51001	<N#>与萧遥在成都帮助受到袭击的燕宇，并得知燕宇的身世，决定到灵隐寺寻求诚王帮助。		100164
51002	在东厂密道见到诚王与陈公公，<N#>加入了东厂势力，此时金风镖局与丐帮起了冲突。		100164
51003	经历了金风镖局与丐帮冲突事件后，陆少临为了追寻真相而一起同行，决定回灵隐寺找陈公公。		100164
51004	为了获得拥护诚王的庞大资金必须获得张世杰的宝藏，其中一块藏宝图在海鲨帮当中。		100164
51005	经过海鲨帮一连串的冲突与混战，熊天霸也遭到牺牲，终于得到藏宝图以回灵隐寺交付任务。		100164
51006	<N#>获得代表东厂的令牌，得知最后一张藏宝图在西域当中。		100164
51007	<N#>在几经折腾过后取得了最后的藏宝图，同时也得到利空法王的帮助，必须回灵隐寺复命。		100164
51008	前往宝藏岛势必会碰上一场硬仗，准备好了再上路。		100164
51009	<N#>联系了丐帮后得知勤王之子一事，与丐帮众人一同来到成都找寻线索。		100164
51010	在萧遥背离了丐帮加入东厂势力之后，听闻丐帮与金风镖局发生了冲突。		100164
51011	萧遥与东厂的人似乎正前往海鲨帮，必须设法阻止他们。		100164
51012	在激烈的战斗之后获得藏宝图，得知灵隐寺是东厂势力的据点。		100164
51013	<N#>与丐帮势力击退了前来袭击的毒浪狂等人，准备前往宝藏岛，势必会碰上一场硬仗。		100164
60001	<N#>帮助荆棘在乐山大佛上夺得佛剑与魔刀。		100164
60002	虚真来求援，<N#1>和大师兄去帮助少林寺御敌，成功击退了夜叉和摩呼罗迦。		100164
60003	在少林寺后山，遇到了玄冥子还有天王的部众，三方混战，二师哥出现了！但没能劝他回头。		100164
60004	天王在二十年前圣堂之战后，被囚于少林，但后来被不明人士劫走，至今仍下落不明。		100164
60005	此次遇袭，半截圣堂之钥被龙王方夺去，众人担忧魔教将解开圣堂之秘，获得神秘力量。		100164
60006	于是<N#1>和大师兄还有方云华三人，一同前往华山找曹掌门共同商议武林大会之事。		100164
60007	曹掌门同意于华山召开武林大会，一同对抗天龙教！而<N#1>则负起联络各大门派之责。		100164
60008	武当、天剑、绝刀、天山、铸剑山庄、杭州丐帮。通知完各大门派后，再回来找曹掌门。		100164
60009	天山派掌门夫人易兰，得知武当也会参加大会，就坚决反对参加，得想办法解开她的心结。		100164
60010	发现卓人清被下毒，想要炼出解药需出三种素材：火凤凰花、金翅鸟血、怪鲶鱼。		100164
60011	火凤凰花向花痴前辈询问，金翅鸟血向成都兽王庄求助，怪鲶鱼则产自极寒之地。		100164
60012	绝刀门主好像去了乐山大佛上的凌云窟了。		100164
60013	天剑门主好像去了乐山大佛上的凌云窟了。		100164
60014	<N#1>成功阻止刀剑门的血战，使刀剑门重修旧好。唐门和八卦门主也同意参加武林大会了。		100164
60015	治好了卓人清，听说最近在武当西南方森林有看到古实的身影。		100164
60016	揭穿方云华的阴谋。方云华被<N#1>废了武功，神智不清的逃出了武当山。		100164
60017	方云华被揭穿后想和秋娟同归于尽，被古实用太极拳法挡下，重心不稳跌倒后死在自己剑下。		100164
