#iRank	#iScore	#iName
1	60000	龙王
2	56000	天意城主
3	53000	天王
4	50000	剑圣
5	49000	玄漓公
6	48000	陈崇英
7	47000	柯降龙
8	46000	无瑕子
9	45000	无因
10	44000	阳第上人
11	43000	卓人清
12	42000	曹岱
13	41000	江天雄
14	40000	金熙凤
15	39000	尹世允
16	38000	玄冥子
17	37000	萧潇
18	36000	摩呼罗迦
19	35000	叶孤
20	34000	利多仁波切
21	33000	夜叉
22	32000	谷月轩
23	31000	花玖瑟
24	30000	迦楼罗
25	29000	阿修罗
26	28000	公孙坚
27	27000	紧那罗
28	26000	干达婆
29	25000	荆棘
30	24000	傅剑寒
31	23800	醉仙
32	23600	利空法王
33	23400	无色
34	23200	无慧
35	23000	古叶
36	22800	庄人骏
37	22600	卓夫人
38	22400	狂
39	22200	西门玄
40	22000	夏侯城
41	21800	何未峰
42	21600	王虎
43	21400	吃
44	21200	喝
45	21000	商鹤鸣
46	20800	唐飞
47	20600	青霞子
48	20400	秦斯龙
49	20200	万震山
50	20000	白无常
51	19800	黑无常
52	19600	紫阳子
53	19400	老胡
54	19200	方云华
55	19000	虚真
56	18800	古实
57	18600	杨云
58	18400	萧遥
59	18200	李浩
60	18000	燕宇
61	17800	江瑜
62	17600	嫖
63	17400	赌
64	17200	灵相
65	17000	无嗔
66	16800	无戒
67	16600	无颠
68	16400	南宫龙飞
69	16200	史刚
70	16000	风吹雪
71	15800	熊天霸
72	15600	史义
73	15400	任浩然
74	15200	橘叟
75	15000	丹青
76	14800	仙音
77	14600	书生
78	14400	易兰
79	14200	关长虹
80	14000	任清璇
81	13800	西门峰
82	13600	夏侯非
83	13400	毒
84	13200	浪
85	13000	沈澜
86	12800	蓝婷
87	12600	商仲仁
88	12400	唐冠南
89	12200	花痴
90	12000	关伟
91	11800	陆少临
92	11600	任剑南
93	11400	秦红殇
94	11200	齐丽
95	11000	王蓉
96	10800	黄娟
97	10600	纪玟
98	10400	何秋娟
99	10200	巩光杰
100	10000	史燕
101	9800	仇霸
102	9600	焦大
103	9400	焦小
104	9200	巴龙
105	9000	郝虎
106	8800	唐中慧
107	8600	神医
108	8400	沈湘芸
109	8200	曹萼华
110	8000	雷震天
111	7800	贾云长
112	7600	赛飞鸿
113	7400	赵惊风
