#出現機率	獲得道具	獲得數量	礦石圖片	礦石種類	地圖編號	連擊數
14,11,8,5,4,3,2,1,1,1,0,0	100001	1	molehitting_mole01	0	0	0
0,3,4,5,4,3,2,2,1,1,0,0	100002	1	molehitting_mole02	1	0	0
0,0,3,4,3,3,2,2,1,1,1,0	100003	1	molehitting_mole03	2	0	0
0,0,0,2,3,3,3,2,1,1,1,1	100004	1	molehitting_mole04	3	0	0
0,0,0,0,2,3,4,3,2,1,1,1	100005	1	molehitting_mole05	4	0	2
0,0,0,0,0,1,2,3,2,1,1,1	100006	1	molehitting_mole06	5	0	4
0,0,0,0,0,0,1,2,3,1,2,2	100007	1	molehitting_mole07	6	0	6
0,0,0,0,0,0,0,1,2,1,2,2	100008	1	molehitting_mole08	7	0	8
0,0,0,0,0,0,0,0,1,1,2,3	100009	1	molehitting_mole09	8	0	10
0,1,0,0,0,0,0,0,0,1,1,1	910049	1	molehitting_mole10	9	0	16
0,0,1,0,0,0,0,0,0,1,1,1	910050	1	molehitting_mole10	9	0	20
0,0,0,1,0,0,0,0,0,1,1,1	910051	1	molehitting_mole10	9	0	20
0,0,0,0,1,0,0,0,0,1,1,1	910052	1	molehitting_mole10	9	0	20
0,0,0,0,0,1,0,0,0,1,1,1	910053	1	molehitting_mole10	9	0	14
0,0,0,0,0,0,1,0,0,1,1,1	910054	1	molehitting_mole10	9	0	20
0,0,0,0,0,0,0,1,0,1,1,1	910055	1	molehitting_mole10	9	0	20
0,0,0,0,0,0,0,0,1,1,1,1	910056	1	molehitting_mole10	9	0	20
0,0,0,0,0,0,0,0,1,1,1,1	910057	1	molehitting_mole10	9	0	14
1,1,1,1,0,0,0,1,0,0,0,0	910007	1	molehitting_mole10	9	0	10
1,1,1,1,1,0,0,0,1,0,0,0	910008	1	molehitting_mole10	9	0	10
1,1,1,0,1,1,0,0,1,0,0,0	910009	1	molehitting_mole10	9	0	10
1,1,1,0,0,1,1,0,1,0,0,0	910010	1	molehitting_mole10	9	0	10
1,1,1,0,0,0,1,1,0,1,0,0	910011	1	molehitting_mole10	9	0	10
1,1,1,1,1,1,1,1,1,1,1,1	910060	1	molehitting_mole10	9	0	12
