#iMoodID	sStringID	fDestroyTime
100001	900018	3
100002	900019	3
100006	900015	3
100011	900016	3
100012	900017	3
100016	900050	3
100021	900020	3
100022	900171	3
100023	900172	5
100026	900021	3
100031	900057,900058	3,3
100036	900059	3,3
100040	900131	3
100041	900132	3
100042	900133	3
100043	900134	3
100044	900135	3
100045	900136,900137,900138	3,3,3
100046	900139	3
100047	900140	3
100048	900141	3
100049	900142	3
100050	900143	3
100051	900144	3
100052	900145	3
100053	900146	3
100054	900147	3
100055	900148	3
100056	900149	3
100057	900150	3
110001	900001	3
110002	900002	3
110003	900052	3
110004	900053	3
110005	900054	3
110006	900055	3
110007	900056	3
110008	900065,900060	3,3
110009	900061,900064	3,3
110010	900062,900064	3,3
110011	900063,900065	3,3
110012	900067	3
110013	900068	3
110014	900069	3
110015	900070	3
110016	900022	3
110017	900023	3
110018	900051	3
110019	900071	3
110020	900072	3
110021	900024	3
110022	900030	3
110023	900025,900026,900027	3,3,3
110024	900028	3
110025	900031	3
110026	900032	3
110027	900033	3
110028	900034	3
110029	900035	3
110030	900036	3
110031	900117	3
110032	900118	3
110035	900047,900048,900049	3,3,3
110036	900077	3
110037	900078	3
110038	900080	3
110039	900081	3
110040	900082	3
110041	900083	3
110042	900084	3
110043	900085	3
110044	900086	3
110045	900087	3
110046	900088	3
110047	900066	3
110048	900089	3
110049	900090	3
110050	900091	3
110051	900092	3
110052	900093	3
110053	900094	3
110054	900095	3
110055	900096	3
110056	900097	3
110057	900098	3
110058	900099	3
110059	900101	3
110060	900102	3
110061	900103	3
110062	900104	3
110063	900105	3
110064	900003	3
110065	900106	3
110066	900107	3
110067	900108	3
110068	900110	3
110069	900111,900105	3,3
110070	900105	3
110071	900100	3
110072	900112	3
110073	900113	3
110074	900114	3
110075	900115	3
110076	900116	3
110077	900119	3
110078	900120	3
110079	900121	3
110080	900122	3
110081	900123	3
110082	900155	3
110083	900152	3
110084	900153	5
110085	900156	3
110086	900157	5
110087	900158	3
110088	900159	3
110089	900160	3
110090	900163	3
110090	900163	3
110091	900161	3
110092	900162	3
110093	900173	5
110094	900174	5
110095	900175	5
110096	900176	5
110097	900177	5
110098	900178	5
110101	940001	5
110102	940002	5
110103	940003,940004	3,3
110104	940005,940006	3,3
110105	940007	3
110106	940008,940009	3,3
110107	940010	3
110108	940011	3
110109	940012	3
110110	940013	3
110111	940014	3
110112	900089	3
110113	900090,900091	3,3
110114	900092	3
120001	900179	3
130001	940101,940102,940104	3,3,3
130002	940102,940104,940103	3,3,3
130003	940103,940101,940102	3,3,3
130004	940106,940105	3,3
130005	940107	3
130006	940108	3
130007	940109,940110	3,3
130008	940111,940112	3,3
130009	940113	3
130011	921662	3
130012	921663	3
130013	921664	3
130014	921665	3
130015	921671,921672	3,3
130016	921673,921674	3,3
130017	921675,921676	3,3
130018	921677,921678	3,3
130019	921679,921680	3,3
130020	900151	3
130021	921681,921682	3,3
130022	921683	3
130023	921684,921685	3,3
130024	921686,921687	3,3
130025	921688,921689	3,3
130026	921690,921691	3,3
130027	921692	3
130028	921693	3
130029	921694,921695	3,3
130030	921696	3
130031	921697,921698	3,3
130032	921699	3
130033	921700,921701	3,3
130034	921702,921703	3,3
130035	921704,921705	3,3
130036	921706,921707	3,3
130037	921708,921709	3,3
130038	921711,921712	3,3
130039	921713,921714	3,3
130040	921715	3
130041	921716	3
130042	921717	3
130043	921718	3
130101	941101,941102	3,3
130102	941103,941104	3,3
130103	941105,941106	3,3
130104	941107	3
130105	941108	3
130106	941109	3
190001	941001	3
190002	941002,941002	3,3
190003	941004,941005,941006	3,3,3
190004	941007	3
190005	941008	3
190006	941009	3
190007	941010	3
190008	941011	3
190009	941012	3
190010	941013,941014	3,3
190011	941015	3
190012	941016	3
190013	941017	3
190014	941018	3
190015	941019	3
190016	941020	3
190017	941021	3
190018	941022	3
190019	941023	3
190020	941024	3
190021	941025	3
190022	941026	3
190023	941027	3
190024	941028	3
190025	941029	3
190026	941030	3
190027	941031	3
200011	920011	3
200021	920021	3
200031	920031	3
200041	920041	3
200051	920051	3
200061	920061	3
200071	920071	3
200081	920081	3
200091	920091	3
200101	920101	3
200111	920111	3
200121	920121	3
200131	920131	3
200141	920141	3
200151	920151	3
200161	920161	3
200171	920171	3
200181	920181	3
200191	920191	3
200201	920201	3
200211	920211	3
200221	920221	3
200231	920231	3
200241	920241	3
200251	920251	3
200261	920261	3
200262	920262	3
200271	920271	3
200281	920281	3
200291	920291	3
200301	920301	3
200311	920311	3
200321	920321	3
200322	920322	3
200323	920323	3
200331	920331	3
200341	920341	3
200351	920351	3
200361	920361	3
200371	920371	3
200381	920381	3
200391	920391	3
200401	920401	3
200411	920411	3
200421	920421	3
200431	920431	3
200441	920441	3
200451	920451	3
200461	920461	3
200471	920471	3
200481	920481	3
200491	920491	3
200501	920501	3
200511	920511	3
200521	920521	3
200531	920531	3
200541	920541	3
200551	920551	3
200561	920561	3
200571	920571	3
200581	920581	3
200591	920591	3
200601	920601	3
200611	920611	3
200621	920621	3
200631	920631	3
200641	920641	3
200651	920651	3
200661	920661	3
200671	920671	3
200681	920681	3
200691	920691	3
200701	920701	3
200711	920711	3
200721	920721	3
200731	920731	3
200741	920741	3
200751	920751	3
200761	920761	3
200771	920771	3
200781	920781	3
200791	920791	3
200801	920801	3
200811	920811	3
200821	920821	3
200831	920831	3
200841	920841	3
200851	920851	3
200861	920861	3
200871	920871	3
200881	920881	3
200891	920891	3
200901	920901	3
200911	920911	3
200921	920921	3
200931	920931	3
200941	920941	3
200951	920951	3
200961	920961	3
200971	920971	3
200981	920981	3
200991	920991	3
201001	921001	3
201011	921011	3
201021	921021	3
201031	921031	3
201041	921041	3
201051	921051	3
201061	921061	3
201071	921071	3
201081	921081	3
201091	921091	3
201101	921101	3
201111	921111	3
201121	921121	3
201131	921131	3
201141	921141	3
201151	921151	3
201171	921171	3
201191	921191	3
201201	921201	3
201251	921251	3
201261	921261	3
201271	921271	3
201281	921281	3
201291	921291	3
201301	921301	3
201311	921311	3
201321	921321	3
201331	921331	3
201341	921341	3
201351	921351	3
201361	921361	3
201371	921371	3
201381	921381	3
201391	921391	3
201401	921401	3
201411	921411	3
201421	921421	3
201431	921431	3
201441	921441	3
201451	921451	3
201461	921461	3
201471	921471	3
201481	921481	3
201491	921491	3
201501	921501	3
201511	921511	3
201531	921531	3
201541	921541	3
201632	921632	3
201641	921641	3
201661	921661	3
260001	911001	3
260002	911002	3
260003	911003	3
260004	911004	3
260005	911005	3
260006	911006	3
260007	911007,911008	3,3
260008	911063	3
260009	911009,911010	3,3
260010	0	3
260011	911011	3
260012	911012	3
260013	911013	3
260014	911014	5
260015	911015,911016,911017,911018	2,2,2,2
260016	911019,911020	3,3
260017	911021,911022	3,3
260018	911023	5
260019	911024,911025,911026	3,3,3
260020	911027	3
260021	911028	3
260022	911029	3
260023	911030	3
260024	911031	3
260025	911032	3
260026	911033	3
260027	911034	3
260028	911035	3
260029	911036	3
260030	911037	3
260031	911038,911039	3,3
260032	911040,911041,911042	3,3,3
260033	911043,911044,911045	3,3,3
260034	911046,911047	3,3
260035	911040,911041,911042,911043,911044,911045,911046,911047,911048,911049,911050,911051	3,3,3,3,3,3,3,3,3,3,3,3
260036	911052,91153	3,3
260037	911054	3
260038	911055	3
260039	911056,911057	3,3
260040	911058	3
260041	911059	3
260042	911060	3
260043	911061	3
260044	911062	3
260045	911064	3
260046	911065	3
260047	911066	3
260048	911067	3
260049	911068	3
260050	911069,911070,911071	3,3,3
260051	911072,911073,911074	3,3,3
260052	911075	3
260053	911076	3
260054	911077	3
260055	911078	3
260056	911079	3
260057	911080	3
260058	911081,911082,911083	3,3,3
260059	911084,911085	3,3
260060	911086,911087	3,3
260061	911088,911089	3,3
260062	911090,911091	3,3
260063	911092	3
260064	911093	3
260065	911094	3
260066	911095	3
260067	911096	3
260068	911097	3
260069	911098	3
260070	911099	3
260071	911100	3
260072	911101	3
260073	911102	3
260074	911103	3
260075	911104	3
260076	911105	3
260077	911106	3
260078	911107	3
260079	911108	3
260080	911109	3
260081	911110,911130	3,3
260082	911111	3
260083	911112	3
260084	911113	3
260085	911114	3
260086	911115	3
260087	911116	3
260088	911117	3
260089	911118	3
260090	911119	3
260091	911120	3
260092	911121	3
260093	911122	3
260094	911123	3
260095	911124	3
260096	911125	3
260097	911126	3
260098	911127	3
260099	911128	3
260100	911129	3
260101	911131	3
260102	911132	3
260103	911148	3
300002	931002	2
390001	941151	2
390002	941152,941153	2,2
390003	941154	2
390004	921694	2
390005	941155	2
390006	941156	2
390007	941157	2
390008	941158	2
390011	941161	2
390012	941162	2
390016	941171	2
393401	941181	2
393402	941182	2
393403	941183	2
393404	941184,941185	3,3
500001	941201,941202	2,2
500002	941203	2
500003	941204,941205	2,2
500021	941221,941222	2,2
500022	941223,941224	2,2
500041	941231	2
500042	941232	2
500043	941233	2
500044	941234	2
500045	911158	3
500046	911159	3
500047	911160	3
500048	911161	3
500049	911162	3
