#iID	s3DModel	sMaxImage	sHalfImage	iFriendly	sNpcName	sIntroduction	iBattleClass	iStarClass	iGenderType	iMartialType	sTitle
100001	TL_ysky	B100001	100001	0	天王	天龙教八部众之首，原名历苍天，也是天龙教的创始人。在江湖人心目中天王乃是邪恶的化身、武林中的第一魔头。然则却很少有人知晓天王内心中的宏图大志，要在遥远的西方创建一个再无纷争的理想国度。	0	0	0	1	天龙八部
100002	TL_sky	B100002	100002	0	天王	天龙教八部众之首，原名历苍天，也是天龙教的创始人。在江湖人心目中天王乃是邪恶的化身、武林中的第一魔头。然则却很少有人知晓天王内心中的宏图大志，要在遥远的西方创建一个再无纷争的理想国度。	1	0	0	1	天龙八部
100003	TL_ydragon	B100003	100003	0	龙王	天龙教八部众之龙，原名历苍龙，现任天龙教教主。和其兄长历苍天相比，龙王行事则更为霸道，武功更为狠辣。唯一目标是称霸江湖，一统武林。	0	0	0	1	天龙八部
100004	TL_dragon	B100004	100004	0	龙王	天龙教八部众之龙，原名历苍龙，现任天龙教教主。和其兄长历苍天相比，龙王行事则更为霸道，武功更为狠辣。唯一目标是称霸江湖，一统武林。	1	0	0	1	天龙八部
100005	TL_xiuluo	B100006	100006	0	阿修罗	天龙教八部众之阿修罗，原名樊未离。武功极高，性格狂放不羁，喜穿一袭蓝色披风。和任天翔因爱生恨，故平日住在修罗宫，从不在江湖上露面。但只要任天翔在江湖现身，她必加入与其敌对的阵营。	0	0	1	1	天龙八部
100006	TL_xiuluo2	B100006	100006	0	阿修罗	天龙教八部众之阿修罗，原名樊未离。武功极高，性格狂放不羁，喜穿一袭蓝色披风。和任天翔因爱生恨，故平日住在修罗宫，从不在江湖上露面。但只要任天翔在江湖现身，她必加入与其敌对的阵营。	1	0	1	1	天龙八部
100007	TL_naluo	B100007	100007	0	紧那罗	天龙教八部众之紧那罗，原名不详，经常与乾达婆一起行事，擅歌舞。容姿不凡。为天王心腹，以从少林寺救出天王为己任。	0	0	0	1	天龙八部
100008	TL_bitch	B100008	100008	1	干达婆	小名香儿，天龙八部之干达婆，性情温和的女性。喜弹琴，好音乐，不喜与人交往。天王心腹，一心要救天王脱困。同时有另外一个身份，为江南第一名妓，艳名远播，但是卖艺不卖身。	0	0	1	1	天龙八部
100009	TL_eagle	B100009	100009	0	迦楼罗	天龙教八部众之迦楼罗，原名任天翔。武功高深莫测，性情豪迈而不拘小节。只忠于前任教主天王，因与龙王不合而辞去教中之职远渡塞外。只和金翅大鹏鸟为伴。	0	0	0	1	天龙八部
100010	TL_mohu	B100010	100010	0	摩呼罗迦	天龙教八部众之摩呼罗迦，原名罗蛇君，天龙教中用毒高手。个性阴沉而行事毒辣，江湖上恶名远播。在龙王麾下专门负责笼络江湖各大门派的势力收为己用。	0	0	0	1	天龙八部
100011	TL_ghost2	B100011	100011	0	夜叉	天龙教八部众之夜叉，原名姬无双，喜穿一身红衣的美艳女子。擅长轻功且邪气逼人，是龙王麾下的首席战将。	0	0	1	1	天龙八部
100012	TL_eastxi	B100012	100012	0	东方曦	与卓人清并列当年少年英雄会的冠军，为人忠厚耿直，性格木讷。受师命卧底于西域天龙教，后因认同天王理念而产生了动摇。深爱着妻子宫夕瑶。后因龙王与玄冥子安排的毒计，陷身于莫大灾祸之中，终为正邪两道所不容。	0	0	0	1	左护法
100013	TL_gongxiyao	B100013	100013	0	宫夕瑶	天王义女，也是东方曦的妻子，温柔，貌美，体贴。外柔内刚，有着极为坚强的内心。师承百花楼，是干达婆、紧那罗还有仙音的师妹。	0	0	1	1	玉笛雅仙
100014	Player	B100014	100014	0	东方未明	初出江湖的少年，胸怀壮志，一心想要成为像小虾米那样的大英雄。	0	0	0	2	江湖游侠
100015	Xyg_Xuan	B100015	100015	1	谷月轩	此人是逍遥谷第四代大弟子，内功修为精而纯，无瑕子传授其拳掌功夫。为人谦和有礼，正气凛然。平日行走江湖，惩奸除恶，人送外号逍遥拳不平。陜北之地独灭西北十三大盗，平常喜收集瓷器。	1	0	0	2	逍遥拳不平
100016	Xyg_Gingi	B100016	100016	1	荆棘	身世来历不详的逍遥谷第四代二弟子。喜好兵器，常与谷月轩一起在江湖上行侠仗义。但是名气则不如谷月轩。个性桀骜不羁，虽然说话刻薄，却是个嘴硬心热之人。	1	0	0	2	刀剑双绝
100017	Xyg_master	B100017	100017	1	无瑕子	年逾九旬，武学上修为极高的逍遥谷第三代掌门，其武功现在已到何等境界很少有人知晓。在江湖上德高望重，近年来只在谷中专心研究琴棋书画等杂学。	1	0	0	2	逍遥散人
