#iType	iArg	sQuestID	Store
0	1091001	0	9000001
0	1000010	0	9000001
0	1000020	0	9000001
0	1000050	0	9000001
0	2021001	0	9000001
0	1000030	0	9000001
0	1000040	0	9000001
0	2022001	0	9000001
3	0	0	9000001
0	1106001	0	9000001
0	1000060	0	9000001
3	0	0	9000008
0	1000070	0	9000001
3	0	0	9000001
0	1000080	0	9000001
0	1000087	1000086	9000001
0	1000100	0	9000001
0	1095001	0	9000001
0	1000102	0	9000001
0	1125001	0	9000001
0	2011001	0	9000005
3	0	0	9000005
0	2013001	0	9000005
3	0	0	9000005
0	2041001	2041002	9000005
3	0	0	9000002
0	2032001	0	9000002
0	2032003	0	9000002
3	0	0	9000002
0	2052001	0	9000002
3	0	0	9000002
0	1000095	0	9000002
3	0	0	9000002
0	2042001	0	9000002
3	0	0	9000002
0	1010505	0	9000002
3	0	0	9000002
3	0	0	9000002
3	0	0	9000002
0	2075001	0	9000002
0	2075008	2075009	9000002
0	1010601	0	9000002
1	0	0	9000002
0	2034001	0	9000002
1	0	0	9000002
0	2073001	0	9000002
1	0	0	9000002
1	0	0	9000002
1	0	0	9000002
1	0	0	9000002
1	0	0	9000002
1	0	0	9000002
0	1100001	0	9000002
1	0	0	9000002
3	0	0	9000002
3	0	0	9000002
1	0	0	9000002
0	2083001	0	9000002
1	0	0	9000002
3	0	0	9000002
3	0	0	9000002
1	0	0	9000002
3	0	0	9000002
3	0	0	9000002
1	0	0	9000002
3	0	0	9000002
0	8018005	0	9000002
1	0	0	9000002
0	2073011	2073008	9000002
0	2115001	0	9000002
1	0	0	9000002
0	2111001	0	9000009
1	0	0	9000002
0	7800011	0	9000002
3	0	0	9000002
1	0	0	9000002
3	0	0	9000002
3	0	0	9000002
1	0	0	9000002
3	0	0	9000002
0	3010001	0	9000006
0	3012001	0	9000006
0	3020001	0	9000006
1	0	0	9000006
3	0	0	9000006
3	0	0	9000003
0	4023001	4023002	9000003
0	4023004	0	9000003
3	0	0	9000003
3	0	0	9000003
1	0	0	9000003
3	0	0	9000003
1	0	0	9000003
1	0	0	9000003
3	0	0	9000003
0	9101020	0	9000003
1	0	0	9000003
0	3032001	0	9000003
0	8004011	0	9000003
0	9008101	0	9000003
0	4041001	0	9000003
0	4041005	4041011	9000003
0	7800020	0	9000003
0	7800026	0	9000003
1	0	0	9000003
0	4056001	0	9000003
1	0	0	9000003
0	9008201	0	9000003
1	0	0	9000003
0	7910025	0	9000003
0	3063001	0	9000003
1	0	0	9000003
1	0	0	9000003
0	8004021	0	9000003
1	0	0	9000003
1	0	0	9000003
0	9008301	0	9000003
0	5083001	0	9000003
1	0	0	9000003
0	9009833	0	9000003
1	0	0	9000003
0	3084001	0	9000003
1	0	0	9000003
0	7910027	0	9000003
0	9009841	9009842	9000003
1	0	0	9000003
0	9009227	0	9000003
1	0	0	9000003
0	9009850	0	9000003
0	9009231	9009233	9000003
3	0	0	9000003
0	9009301	0	9000010
1	0	0	9000003
0	8011019	0	9000003
0	9009858	9009859	9000003
0	3121011	3121001	9000003
1	0	0	9000003
0	8004041	0	9000003
1	0	0	9000003
0	3125001	3125003	9000003
0	4011012	4011011	9000007
0	9007101	0	9000007
0	7900110	0	9000007
0	9009015	9009012	9000007
0	7910043	0	9000007
0	1010506	0	9000004
0	9009870	0	9000004
0	9009750	0	9000004
0	4033001	0	9000004
0	4033003	4033004	9000004
0	5014002	0	9000004
0	7910049	0	9000004
0	1100040	0	9000004
0	9009878	9009879	9000004
0	4063001	0	9000004
0	9009754	0	9000004
0	9009895	0	9000004
1	0	0	9000004
0	4050001	4050090	9000004
1	0	0	9000004
0	8004061	0	9000004
0	7910051	0	9000004
0	5014001	5014007	9000004
0	7910062	0	9000004
0	7910085	0	9000004
1	0	0	9000004
1	0	0	9000004
0	5101001	0	9000004
1	0	0	9000004
0	7920122	0	9000004
0	7910058	0	9000004
0	9101040	3071001	9000004
0	3071003	0	9000004
0	7800033	0	9000004
0	7900075	0	9000004
0	6002115	0	9000004
0	9010110	0	9000004
0	9010114	0	9000004
1	0	0	9000004
0	6014001	0	9000004
