#iRID	sRewardData
100000	(6,100015,15,200005)
100001	(6,100016,15,200005)
100002	(6,100021,15,200005)
100003	(6,100035,15,200005)
100004	(6,100036,15,200005)
100005	(6,100037,15,200005)
100006	(6,100043,15,200005)
100007	(6,100054,15,200005)
100008	(6,100055,15,200005)
100009	(6,100056,15,200005)
100010	(6,100057,15,200005)
100011	(6,100058,15,200005)
100012	(6,100059,15,200005)
100013	(6,100060,15,200005)
100014	(6,100061,15,200005)
100015	(6,100065,15,200005)
100016	(6,100066,15,200005)
100017	(6,100072,15,200005)
100018	(6,100075,15,200005)
100019	(6,100078,15,200005)
100020	(6,100081,15,200005)
100021	(6,100082,15,200005)
100022	(6,100085,15,200005)
100023	(6,100089,15,200005)
100024	(6,100091,15,200005)
100025	(6,100092,15,200005)
100026	(6,100094,15,200005)
100027	(6,100096,15,200005)
100028	(6,100098,15,200005)
100029	(6,100297,15,200005)
100030	(6,100299,15,200005)
100031	(6,100307,15,200005)
100032	(6,100308,15,200005)
100033	(6,100418,15,200005)
100034	(6,100134,15,200005)
100035	(6,100135,15,200005)
100051	(6,100021,3,200005)
100101	(6,100021,-5,200064)*(4,8,5,200046)
100201	(20,1015101,0,0)
100202	(20,1011101,0,0)
100203	(6,100037,5,200005)*(5,5,5,200045)
100204	(6,100043,3,200005)*(1,4,5,200015)
100205	(20,1045101,0,0)
100206	(20,1085201,0,0)
100207	(20,1085301,0,0)
100208	(6,100016,-1,200064)
100209	(6,100036,-1,200064)
100210	(6,100035,-1,200064)
100211	(20,1261601,0,0)
100212	(6,100037,-1,200064)
100213	(6,100043,-1,200064)
100214	(6,100054,-1,200064)
100215	(6,100055,-1,200064)
100216	(6,100056,-1,200064)
100217	(6,100059,-1,200064)
100218	(6,100060,-1,200064)
100219	(6,100072,-1,200064)*(6,100085,5,200005)
100220	(6,100075,-1,200064)
100221	(6,100082,-1,200064)
100222	(6,100085,-1,200064)*(6,100072,5,200005)
100223	(6,100091,-1,200064)
100224	(6,100092,-1,200064)
100225	(6,100094,-1,200064)
100226	(20,1185101,0,0)
100227	(6,100096,-1,200064)
100228	(6,100098,-1,200064)
100229	(6,100299,-1,200064)
100230	(6,100065,-1,200064)
100231	(6,100066,-1,200064)
100232	(6,100057,-1,200064)
100233	(6,100061,-1,200064)
100234	(6,100078,-1,200064)
100235	(6,100081,-1,200064)
100236	(6,100089,-1,200064)
100251	(6,100035,3,200005)
100252	(6,100054,3,200005)
100253	(6,100055,3,200005)
100254	(6,100060,3,200005)
100255	(6,100082,3,200005)
100256	(6,100098,3,200005)
160001	(4,6,2,200086)
160101	(4,8,2,200046)*(19,10801,0,200069)
160102	(4,8,2,200046)*(19,10802,0,200069)
160103	(4,8,2,200046)*(19,10803,0,200069)
160104	(4,8,2,200046)*(19,10804,0,200069)
160105	(4,8,2,200046)*(19,10805,0,200069)
160106	(4,8,2,200046)*(19,10806,0,200069)
160107	(4,8,2,200046)*(19,10807,0,200069)
160108	(4,8,2,200046)*(19,10808,0,200069)
160109	(4,8,2,200046)*(19,10809,0,200069)
160110	(4,8,2,200046)*(19,10810,0,200069)
160111	(4,8,2,200046)*(19,10811,0,200069)
160112	(4,8,2,200046)*(19,10812,0,200069)
160113	(4,8,2,200046)*(19,10813,0,200069)
160114	(4,8,2,200046)*(19,10814,0,200069)
160115	(4,8,2,200046)*(19,10815,0,200069)
160121	(5,8,2,200047)*(19,11702,0,200069)
160122	(5,8,2,200047)*(19,11703,0,200069)
160123	(5,8,2,200047)*(19,11704,0,200069)
160124	(5,8,2,200047)*(19,11705,0,200069)
160125	(5,8,2,200047)*(19,11706,0,200069)
160126	(5,8,2,200047)*(19,11707,0,200069)
160127	(5,8,2,200047)*(19,11708,0,200069)
160128	(5,8,2,200047)*(19,11709,0,200069)
160129	(5,8,2,200047)*(19,11710,0,200069)
160130	(5,8,2,200047)*(19,11711,0,200069)
160131	(5,8,2,200047)*(19,11712,0,200069)
