#iMainID	iMinorID	sSencesAudio
M0000	0	M000000
M0001	0	M000100
M0001	1	M000100
M0001	2	M000102
M0001	3	M000103
M0001	4	M000100
M0001	5	M000105
M0001	6	M000106
M0001	7	M000107
M0001	8	M000107
M0001	9	M700001
M0001	10	M000100
M0001	11	M000111
M0001	12	M000101
M0001	13	M000100
M0001	14	M000114
M0001	15	M000115
M0001	16	M000100
M0001	17	M000100
M0001	18	M000100
M0001	19	M000100
M0001	20	M700001
M0001	21	M700001
M0001	22	M000100
M0001	23	M000200
M0001	24	M000111
M0001	25	M000108
M0003	0	M000300
M0003	1	M000100
M0004	0	M000400
M0004	1	M000400
M0004	2	M000400
M0004	3	M700001
M0005	0	M000500
M0005	1	M000500
M0005	2	M000500
M0005	3	M000500
M0005	4	M000500
M0006	0	M000600
M0006	1	M000600
M0006	2	M000600
M0006	3	M000600
M0006	4	M000600
M0006	5	M700001
M0007	0	M000700
M0007	1	M000700
M0007	2	M000700
M0007	3	M000700
M0007	4	M700001
M0008	0	M000800
M0008	1	M700001
M0009	0	M000900
M0009	1	M000900
M0009	2	M000900
M0009	3	M000900
M0009	4	M700001
M0010	0	M001000
M0010	1	M001000
M0010	2	M700001
M0011	0	M001100
M0011	1	M700001
M0012	0	M001200
M0012	1	M001200
M0012	2	M700004
M0012	3	M700004
M0013	0	M001300
M0013	1	M001300
M0013	2	M001302
M0013	3	M700001
M0013	4	M001304
M0013	5	M000102
M0013	6	M000103
M0013	7	M000111
M0013	8	M000105
M0013	9	M000115
M0013	10	M000114
M0013	11	M001300
M0013	12	M001300
M0013	13	M001300
M0013	14	M001300
M0013	15	M001300
M0013	16	M700001
M0013	17	M000114
M0013	18	M000114
M0013	19	M001304
M0013	20	M000111
M0013	21	M700004
M0014	0	M001400
M0014	1	M700001
M0015	0	M001500
M0015	1	M001500
M0015	2	M700001
M0016	0	M001600
M0016	1	M001601
M0016	2	M700001
M0016	3	M700001
M0017	0	M001700
M0018	0	M001800
M0018	1	M001800
M0018	2	M700001
M0019	0	M001900
M0019	1	M001900
M0019	2	M001900
M0019	3	M001900
M0019	4	M000102
M0019	5	M000103
M0019	6	M000111
M0019	7	M000105
M0019	8	M000115
M0019	9	M000114
M0019	10	M001900
M0019	11	M001900
M0019	12	M001900
M0019	13	M001900
M0019	14	M700001
M0019	15	M001900
M0019	16	M001900
M0019	17	M001900
M0019	18	M001900
M0019	19	M001900
M0020	0	M002000
M0020	1	M002000
M0020	2	M002000
M0020	3	M002000
M0020	4	M002000
M0020	5	M002000
M0020	6	M002000
M0020	7	M700001
M0021	0	M002100
M0021	1	M002100
M0021	2	M002100
M0021	3	M700001
M0022	0	M002200
M0022	1	M002200
M0022	2	M002200
M0023	0	M002400
M0023	1	M002400
M0023	2	M000900
M0024	0	M002400
M0024	1	M001300
M0024	2	M001300
M0025	0	M001300
M0026	0	game04
M0099	0	M000800
M0099	1	M009901
M0099	2	M700001
M0099	3	M700001
M0099	4	M700001
M0099	5	M700001
M0099	6	M700001
M9001	0	M900100
M9001	1	M900101
M9001	2	M900102
M9001	3	M900103
M9001	4	M900104
M9001	5	M900105
M9001	6	M900106
