#iID	xUse	sString
100001	通用字符串	返回
100002	通用字符串	打杂
100003	通用字符串	基本功
100004	通用字符串	套路
100005	通用字符串	技能
100006	通用字符串	艺能
100008	通用字符串	休息
100009	通用字符串	打扫
100010	通用字符串	挑水
100011	通用字符串	砍柴
100012	通用字符串	洗衣
100013	通用字符串	泡茶
100014	通用字符串	下厨
100015	通用字符串	磨墨
100016	通用字符串	眼功
100017	通用字符串	耳功
100018	通用字符串	软功
100019	通用字符串	硬功
100020	通用字符串	轻功
100021	通用字符串	心法
100022	通用字符串	拳掌
100023	通用字符串	指爪
100024	通用字符串	腿法
100025	通用字符串	剑法
100026	通用字符串	刀法
100027	通用字符串	棍法
100028	通用字符串	短柄
100029	通用字符串	软索
100030	通用字符串	暗器
100031	通用字符串	花卉
100032	通用字符串	挖矿
100033	通用字符串	打猎
100034	通用字符串	钓鱼
100035	通用字符串	采药
100036	通用字符串	炼丹
100037	通用字符串	打铁
100038	通用字符串	鉴定
100039	通用字符串	乐理
100041	通用字符串	棋艺
100042	通用字符串	毒术
100043	通用字符串	医术
100044	通用字符串	绘画
100045	通用字符串	书法
100054	通用字符串	实战
100055	通用字符串	武学
100056	通用字符串	道德
100057	通用字符串	名声
100058	通用字符串	乐理
100059	通用字符串	棋艺
100060	通用字符串	系统
100061	通用字符串	第
100062	通用字符串	年
100063	通用字符串	月
100064	通用字符串	初
100065	通用字符串	上旬
100066	通用字符串	中旬
100067	通用字符串	下旬
100068	通用字符串	底
100069	通用字符串	一
100070	通用字符串	二
100071	通用字符串	三
100072	通用字符串	四
100073	通用字符串	五
100074	通用字符串	六
100075	通用字符串	七
100076	通用字符串	八
100077	通用字符串	九
100078	通用字符串	十
100079	通用字符串	十一
100080	通用字符串	十二
100081	通用字符串	捉毒
100082	通用字符串	悟性
100083	通用字符串	跳过
100084	通用字符串	所有人
100085	通用字符串	厨艺
100086	通用字符串	茶道
100087	通用字符串	酒艺
100088	行囊分类用字符串	不分类
100089	行囊分类用字符串	装备
100090	行囊分类用字符串	食物
100091	行囊分类用字符串	娱乐
100092	行囊分类用字符串	杂货
100093	行囊分类用字符串	材料
100094	通用字符串	内功
100095	通用字符串	气血
100096	通用字符串	属性
100097	通用字符串	武艺
100098	通用字符串	招式
100099	通用字符串	闲逛
100100	通用字符串	生产
100101	技艺书分类用字符串	挖矿
100102	技艺书分类用字符串	打猎
100103	技艺书分类用字符串	钓鱼
100104	技艺书分类用字符串	采药
100105	技艺书分类用字符串	炼丹
100106	技艺书分类用字符串	打铁
100107	技艺书分类用字符串	鉴定
100108	技艺书分类用字符串	厨艺
100109	技艺书分类用字符串	乐理
100110	技艺书分类用字符串	棋艺
100111	技艺书分类用字符串	毒术
100112	技艺书分类用字符串	医术
100113	技艺书分类用字符串	绘画
100114	技艺书分类用字符串	书法
100115	技艺书分类用字符串	酒艺
100116	技艺书分类用字符串	花卉
100117	技艺书分类用字符串	茶道
100118	技艺书分类用字符串	心法
100119	技艺书分类用字符串	拳掌
100120	技艺书分类用字符串	指爪
100121	技艺书分类用字符串	腿法
100122	技艺书分类用字符串	剑法
100123	技艺书分类用字符串	刀法
100124	技艺书分类用字符串	棍法
100125	技艺书分类用字符串	短柄
100126	技艺书分类用字符串	暗器
100127	技艺书分类用字符串	琴功
100128	技艺书分类用字符串	策略
100129	技艺书分类用字符串	双武
100139	通用字符串	回合
100141	通用字符串	酒煎黄河鲤鱼
100142	通用字符串	道口烧鸡
100143	通用字符串	西湖醋鱼
100144	通用字符串	龙井虾仁
100145	通用字符串	叫化子鸡
100146	通用字符串	东坡肉
100147	通用字符串	开水白菜
100148	通用字符串	夫妻肺片
100149	通用字符串	芙蓉麻婆豆腐
100161	通用字符串	第一年
