#strBoxID	iBoxType	strQuestID	iItemID	iMoveCount	iLevel	iRewardID	iItem
M000101	0	0	0	0	0	950034	0
M000102	0	0	0	0	0	950015	0
M000103	0	0	0	0	0	950015	0
M000104	0	0	0	0	0	950035	0
M000105	2	0	930002	20	2	950014	200009
M000106	2	0	930002	20	2	950014	200003
M000107	1	0	930002	0	0	950036	0
M000108	1	0	930002	0	0	950037	0
M000109	2	0	930002	20	2	950014	699006
M000110	2	0	930002	20	2	950014	699004
M000111	2	0	930002	20	4	950011	699003
M000301	1	0	930002	0	0	950038	0
M000302	1	0	930002	0	0	950039	0
M000501	0	0	0	0	0	950020	0
M000502	1	0	930002	0	0	950021	0
M000503	2	0	930002	30	2	950022	300008
M000504	2	0	930002	50	3	950015	220207
M000601	0	0	0	0	0	950023	0
M000602	0	0	0	0	0	950024	0
M000603	0	0	0	0	0	950025	0
M000604	0	0	0	0	0	950026	0
M000605	1	0	930002	0	0	950027	0
M000606	1	0	930002	0	0	950028	0
M000901	0	0	0	0	0	950001	0
M000902	1	0	930002	0	0	950002	0
M000903	0	0	0	0	0	950003	0
M000904	1	0	930002	0	0	950004	0
M000905	2	0	930002	50	4	950005	600116
M001301	0	0	0	0	0	950040	0
M001302	0	0	0	0	0	950006	0
M001303	0	0	0	0	0	950041	0
M001304	0	0	0	0	0	950042	0
M001305	0	0	0	0	0	950007	0
M001306	0	0	0	0	0	950043	0
M001307	0	0	0	0	0	950009	0
M001308	0	0	0	0	0	950010	0
M001309	1	0	930002	0	0	950011	0
M001310	1	0	930002	0	0	950011	0
M001311	1	0	930002	0	0	950044	0
M001312	1	0	930002	0	0	950045	0
M001313	2	0	930002	50	3	950014	200328
M001314	2	0	930002	10	2	950014	200002
M001315	0	0	0	0	0	950020	0
M001316	1	0	930002	0	0	950021	0
M001317	2	0	930002	20	2	950022	300008
M001318	2	0	930002	20	4	950011	220209
M001319	2	M99000031	0	20	2	950015	990112
M001601	2	0	930002	50	4	950014	920001
M001901	0	0	0	0	0	950015	0
M001902	0	0	0	0	0	950015	0
M001903	0	0	0	0	0	950015	0
M001904	0	0	0	0	0	950015	0
M001905	1	0	930002	0	0	950018	0
M001906	1	0	930002	0	0	950019	0
M001907	2	0	930002	50	4	950014	600010
M001908	2	0	930002	50	3	950014	600309
M001909	2	0	930002	50	3	950014	600201
M001910	2	0	930002	50	4	950014	660014
M001911	2	0	930002	20	4	950011	300013
M002301	2	0	930002	20	4	950015	220203
M002302	1	0	930002	0	0	523004	0
M003001	0	0	0	0	0	950015	0
M003002	0	0	0	0	0	950015	0
M003003	0	0	0	0	0	950014	0
M003004	0	0	0	0	0	950032	0
M003005	0	0	0	0	0	950014	0
M003006	0	0	0	0	0	950015	0
M003007	0	0	0	0	0	950032	0
M003008	0	0	0	0	0	950015	0
M003009	0	0	0	0	0	950014	0
M003010	0	0	0	0	0	950015	0
M003011	0	0	0	0	0	950015	0
M003012	0	0	0	0	0	950015	0
M003013	0	0	0	0	0	950015	0
M003014	0	0	0	0	0	950031	0
M003015	0	0	0	0	0	950031	0
M003016	0	0	0	0	0	950015	0
M003017	0	0	0	0	0	950015	0
M003018	0	0	0	0	0	950015	0
M003019	0	0	0	0	0	950032	0
M003020	0	0	0	0	0	950015	0
M003021	0	0	0	0	0	950015	0
M003022	0	0	0	0	0	950031	0
M003023	0	0	0	0	0	950014	0
M003024	0	0	0	0	0	950015	0
M003025	0	0	0	0	0	950015	0
M003026	0	0	0	0	0	950015	0
M003027	0	0	0	0	0	950014	0
M003028	0	0	0	0	0	950015	0
M003029	0	0	0	0	0	950015	0
M003030	0	0	0	0	0	950014	0
M003031	0	0	0	0	0	950015	0
M003032	0	0	0	0	0	950015	0
M003033	0	0	0	0	0	950032	0
M003034	0	0	0	0	0	950031	0
M003035	0	0	0	0	0	950015	0
M003036	0	0	0	0	0	950033	0
M003037	0	0	0	0	0	950015	0
M003038	0	0	0	0	0	950014	0
M003039	0	0	0	0	0	950015	0
M003040	0	0	0	0	0	950031	0
M0030306	0	0	0	0	0	950033	0
M003401	0	0	0	0	0	950023	0
M003402	0	0	0	0	0	950024	0
M003403	0	0	0	0	0	950025	0
M003404	0	0	0	0	0	950026	0
M003405	1	0	930002	0	0	950027	0
M003406	2	0	930002	30	4	950015	690015
M003407	1	0	930002	0	0	950030	0
M003501	2	M00202021	0	20	2	920164	920008
M003502	1	0	990121	0	2	920365	0
